row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND > Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,2.345.032.782.920,2.191.669.191.504,100.0,,2345032782920.0,2191669191504.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,955.762.454.141,484.359.794.468,110.0,4.0,955762454141.0,484359794468.0
1. Tiền,1. Tiền,1. Tiền,111,,95.944.277.337,97.359.794.468,111.0,,95944277337.0,97359794468.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,859.818.176.804,387.000.000.000,112.0,,859818176804.0,387000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,553.818.495.000,993.419.013.699,120.0,,553818495000.0,993419013699.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,5,553.818.495.000,993.419.013.699,123.0,5.0,553818495000.0,993419013699.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,785.002.951.327,654.788.579.044,130.0,,785002951327.0,654788579044.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,446.158.902.856,366.433.692.204,131.0,6.0,446158902856.0,366433692204.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,,1.297.176.566,807.754.102,132.0,,1297176566.0,807754102.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,7,355.608.406.718,305.638.359.738,136.0,7.0,355608406718.0,305638359738.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,8,(18.061.534.813),(18.091.227.000),137.0,8.0,-18061534813.0,-18091227000.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,46.743.254.753,52.431.901.790,140.0,,46743254753.0,52431901790.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,9,46.743.254.753,52.431.901.790,141.0,9.0,46743254753.0,52431901790.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,3.705.627.699,6.669.902.503,150.0,,3705627699.0,6669902503.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,,2.657.416.390,3.285.069.985,151.0,,2657416390.0,3285069985.0
