row_label_raw,row_label_full,col_0,Chỉ phí sửa chữa lớn tài sản cố định VND,Dự phòng khác VND,Tổng cộng VND,numeric__Chỉ phí sửa chữa lớn tài sản cố định VND,numeric__Dự phòng khác VND,numeric__Tổng cộng VND
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,158.023.489.504,861.829.710,158.885.319.214,158023489504.0,861829710.0,158885319214.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,70.190.241.017,1.543.712.968,71.733.953.985,70190241017.0,1543712968.0,71733953985.0
Hoàn nhập dự phòng (*),Hoàn nhập dự phòng (*),Hoàn nhập dự phòng (*),(64.906.406.288),-,(64.906.406.288),-64906406288.0,,-64906406288.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(77.488.016.366),(861.829.710),(78.349.846.076),-77488016366.0,-861829710.0,-78349846076.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,85.819.307.867,1.543.712.968,87.363.020.835,85819307867.0,1543712968.0,87363020835.0
