row_label_raw,row_label_full,Số cuối năm,Số cuối năm > Dưới 1 nămVND,Số cuối năm > Từ 1 đến 5 nămVND,Số cuối năm > Trên 5 nămVND,Số cuối năm > TổngVND,numeric__Số cuối năm > Dưới 1 nămVND,numeric__Số cuối năm > Từ 1 đến 5 nămVND,numeric__Số cuối năm > Trên 5 nămVND,numeric__Số cuối năm > TổngVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,955.762.454.141,-,-,955.762.454.141,955762454141.0,,,955762454141.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,783.469.739.286,995.248.158.409,93.149.253.693,1.871.867.151.388,783469739286.0,995248158409.0,93149253693.0,1871867151388.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,553.818.495.000,-,45.937.767.300,599.756.262.300,553818495000.0,,45937767300.0,599756262300.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,2.293.050.688.427,995.248.158.409,139.087.020.993,3.427.385.867.829,2293050688427.0,995248158409.0,139087020993.0,3427385867829.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,331.598.642.313,1.052.083.716.809,436.015.940.316,1.819.698.299.438,331598642313.0,1052083716809.0,436015940316.0,1819698299438.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,555.373.621.521,115.445.568.000,203.168.352.000,873.987.541.521,555373621521.0,115445568000.0,203168352000.0,873987541521.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,24.149.587.129,4.727.694.597,-,28.877.281.726,24149587129.0,4727694597.0,,28877281726.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,911.121.850.963,1.172.256.979.406,639.184.292.316,2.722.563.122.685,911121850963.0,1172256979406.0,639184292316.0,2722563122685.0
Chênh lệch thanh khoản thuần,Công nợ tài chính > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.381.928.837.464,(177.008.820.997),(500.097.271.323),704.822.745.144,1381928837464.0,-177008820997.0,-500097271323.0,704822745144.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
,,,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,484.359.794.468,-,-,484.359.794.468,484359794468.0,,,484359794468.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,653.566.963.232,1.069.693.132.449,305.463.144.268,2.028.723.239.949,653566963232.0,1069693132449.0,305463144268.0,2028723239949.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,993.419.013.699,-,45.937.767.300,1.039.356.780.999,993419013699.0,,45937767300.0,1039356780999.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,2.131.345.771.399,1.069.693.132.449,351.400.911.568,3.552.439.815.416,2131345771399.0,1069693132449.0,351400911568.0,3552439815416.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,309.923.020.687,1.238.659.650.376,420.532.070.442,1.969.114.741.505,309923020687.0,1238659650376.0,420532070442.0,1969114741505.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,466.022.991.591,115.445.568.000,232.029.744.000,813.498.303.591,466022991591.0,115445568000.0,232029744000.0,813498303591.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,13.628.728.507,4.739.131.730,-,18.367.860.237,13628728507.0,4739131730.0,,18367860237.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,789.574.740.785,1.358.844.350.106,652.561.814.442,2.800.980.905.333,789574740785.0,1358844350106.0,652561814442.0,2800980905333.0
Chênh lệch thanh khoản thuần,Công nợ tài chính > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.341.771.030.614,(289.151.217.657),(301.160.902.874),751.458.910.083,1341771030614.0,-289151217657.0,-301160902874.0,751458910083.0
