row_label_raw,row_label_full,col_0,col_1,col_2,col_3,Đơn vị tính: VND,numeric__col_1,numeric__col_2,numeric__col_3,numeric__Đơn vị tính: VND
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,3.073.615.781.570,3.135.915.477.150,300.0,,3073615781570.0,3135915477150.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,1.179.200.218.689,1.080.915.697.742,310.0,,1179200218689.0,1080915697742.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,15,357.956.511.440,330.007.807.746,311.0,15.0,357956511440.0,330007807746.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,2.239.780,-,312.0,,2239780.0,
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,16,82.526.354.075,42.915.432.789,313.0,16.0,82526354075.0,42915432789.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,93.619.330.198,73.160.615.856,314.0,,93619330198.0,73160615856.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,17,24.149.587.129,13.628.728.507,315.0,17.0,24149587129.0,13628728507.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,18,198.688.584.386,137.493.270.593,319.0,18.0,198688584386.0,137493270593.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,22,331.598.642.313,309.923.020.687,320.0,22.0,331598642313.0,309923020687.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,19,4.388.729.676,115.291.704.354,321.0,19.0,4388729676.0,115291704354.0
"10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi",322,,86.270.239.692,58.495.117.210,322.0,,86270239692.0,58495117210.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,1.894.415.562.881,2.054.999.779.408,330.0,,1894415562881.0,2054999779408.0
1. Phải trả người bán dài hạn,1. Phải trả người bán dài hạn,1. Phải trả người bán dài hạn,331,20,288.613.920.000,317.475.312.000,331.0,20.0,288613920000.0,317475312000.0
2. Chỉ phí phải trả dài hạn,2. Chỉ phí phải trả dài hạn,2. Chỉ phí phải trả dài hạn,333,17,4.727.694.597,4.739.131.730,333.0,17.0,4727694597.0,4739131730.0
3. Phải trả dài hạn khác,3. Phải trả dài hạn khác,3. Phải trả dài hạn khác,337,21,30.000.000.000,30.000.000.000,337.0,21.0,30000000000.0,30000000000.0
4. Vay và nợ thuê tài chính dài hạn,4. Vay và nợ thuê tài chính dài hạn,4. Vay và nợ thuê tài chính dài hạn,338,22,1.488.099.657.125,1.659.191.720.818,338.0,22.0,1488099657125.0,1659191720818.0
5. Dự phòng phải trả dài hạn,5. Dự phòng phải trả dài hạn,5. Dự phòng phải trả dài hạn,342,19,82.974.291.159,43.593.614.860,342.0,19.0,82974291159.0,43593614860.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,3.440.656.099.445,3.369.324.655.404,400.0,,3440656099445.0,3369324655404.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,23,3.440.656.099.445,3.369.324.655.404,410.0,23.0,3440656099445.0,3369324655404.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,2.814.401.620.000,2.814.401.620.000,411.0,,2814401620000.0,2814401620000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.814.401.620.000,2.814.401.620.000,,,2814401620000.0,2814401620000.0
2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,418,,184.689.625.253,111.588.613.645,418.0,,184689625253.0,111588613645.0
3. Quỹ khác thuộc vốn chủ sở hữu,3. Quỹ khác thuộc vốn chủ sở hữu,3. Quỹ khác thuộc vốn chủ sở hữu,420,,44.843.396.730,44.843.396.730,420.0,,44843396730.0,44843396730.0
4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,421,,396.721.457.462,398.491.025.029,421.0,,396721457462.0,398491025029.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,3.744.295.037,32.985.966.990,,,3744295037.0,32985966990.0
- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,392.977.162.425,365.505.058.039,,,392977162425.0,365505058039.0
TỔNG NGUỒN VỐN (440 = 300+ 400),TỔNG NGUỒN VỐN (440 = 300+ 400),TỔNG NGUỒN VỐN (440 = 300+ 400),440,,6.514.271.881.015,6.505.240.132.554,440.0,,6514271881015.0,6505240132554.0
