row_label_raw,row_label_full,col_0,Tài sản,Tài sản_1,Công nổ,Công nổ_1,numeric__Tài sản,numeric__Tài sản_1,numeric__Công nổ,numeric__Công nổ_1
,,,Số cuối năm VND,Số đầu năm VND,Số cuối năm VND,Số đầu năm VND,,,,
Đô la Mỹ (USD),Đô la Mỹ (USD),Đô la Mỹ (USD),885.697.435.170,1.118.526.296.061,1.051.006.985.493,1.119.541.511.832,885697435170.0,1118526296061.0,1051006985493.0,1119541511832.0
Euro (EUR),Euro (EUR),Euro (EUR),9.910.079,8.914.908,-,-,9910079.0,8914908.0,,
Na Uy Krone (NOK),Na Uy Krone (NOK),Na Uy Krone (NOK),-,-,39.605.720,-,,,39605720.0,
Đô la Singapore (SGD),Đô la Singapore (SGD),Đô la Singapore (SGD),-,-,39.602.838,-,,,39602838.0,
Yên Nhật (JPY),Yên Nhật (JPY),Yên Nhật (JPY),-,-,228.562.971,-,,,228562971.0,
