row_label_raw,row_label_full,Năm trước,Dịch vụ vận tải VND,Dịch vụ hàng hải đầu khí VND,Thường mại VND,Tổng VND,numeric__Dịch vụ vận tải VND,numeric__Dịch vụ hàng hải đầu khí VND,numeric__Thường mại VND,numeric__Tổng VND
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.451.493.198.202,880.898.354.344,34.737.767.704,2.367.129.320.250,1451493198202.0,880898354344.0,34737767704.0,2367129320250.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,1.451.493.198.202,880.898.354.344,34.737.767.704,2.367.129.320.250,1451493198202.0,880898354344.0,34737767704.0,2367129320250.0
Giá vốn,Giá vốn,Giá vốn,,,,,,,,
Giá vốn từ bán hàng ra bên ngoài,Giá vốn > Giá vốn từ bán hàng ra bên ngoài,Giá vốn từ bán hàng ra bên ngoài,1.167.492.984.065,832.890.446.068,22.244.036.906,2.022.627.467.039,1167492984065.0,832890446068.0,22244036906.0,2022627467039.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,1.167.492.984.065,832.890.446.068,22.244.036.906,2.022.627.467.039,1167492984065.0,832890446068.0,22244036906.0,2022627467039.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,284.000.214.137,48.007.908.276,12.493.730.798,344.501.853.211,284000214137.0,48007908276.0,12493730798.0,344501853211.0
Chỉ phí không phân bổ,Kết quả hoạt động kinh doanh > Chỉ phí không phân bổ,Chỉ phí không phân bổ,,,,(60.863.215.062),,,,-60863215062.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,283.638.638.149,,,,283638638149.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,147.366.301.209,,,,147366301209.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,9.455.126.799,,,,9455126799.0
Chỉ phí tài chính,Kết quả hoạt động kinh doanh > Chỉ phí tài chính,Chỉ phí tài chính,,,,2.827.234.448,,,,2827234448.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,443.287.300.605,,,,443287300605.0
Chỉ phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chỉ phí thuế thu nhập doanh nghiệp,Chỉ phí thuế thu nhập doanh nghiệp,,,,(85.821.570.001),,,,-85821570001.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,,8.039.327.435,,,,8039327435.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,365.505.058.039,,,,365505058039.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,114.314.738.208,,,,114314738208.0
