row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nav,Năm trước,numeric__Mã số,numeric__Năm nav,numeric__Năm trước
I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,488.404.319.976,443.287.300.605,1.0,488404319976.0,443287300605.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,
- Khẩu hao tài sản cố định,2. Điều chỉnh cho các khoản: > - Khẩu hao tài sản cố định,- Khẩu hao tài sản cố định,02,219.994.552.861,114.314.738.208,2.0,219994552861.0,114314738208.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản: > - Các khoản dự phòng,- Các khoản dự phòng,03,(42.480.811.569),119.381.496.647,3.0,-42480811569.0,119381496647.0
- Lỗ/(Lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > - Lỗ/(Lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,- Lỗ/(Lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,108.824.274,(76.288.309),4.0,108824274.0,-76288309.0
- Lãi từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > - Lãi từ hoạt động đầu tư,- Lãi từ hoạt động đầu tư,05,(185.051.733.958),(145.421.175.973),5.0,-185051733958.0,-145421175973.0
- Chỉ phí lãi vay,2. Điều chỉnh cho các khoản: > - Chỉ phí lãi vay,- Chỉ phí lãi vay,06,43.569.702.907,7.709.966.832,6.0,43569702907.0,7709966832.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,524.544.854.491,539.196.038.010,8.0,524544854491.0,539196038010.0
- Giảm các khoản phải thu,2. Điều chỉnh cho các khoản: > - Giảm các khoản phải thu,- Giảm các khoản phải thu,09,177.328.088.189,463.405.574.003,9.0,177328088189.0,463405574003.0
- Giảm/(Tăng) hàng tôn kho,2. Điều chỉnh cho các khoản: > - Giảm/(Tăng) hàng tôn kho,- Giảm/(Tăng) hàng tôn kho,10,5.688.647.037,(2.364.777.114),10.0,5688647037.0,-2364777114.0
- Tăng/(Giảm) các khoản phải trả,2. Điều chỉnh cho các khoản: > - Tăng/(Giảm) các khoản phải trả,- Tăng/(Giảm) các khoản phải trả,11,133.106.541.552,(99.223.109.453),11.0,133106541552.0,-99223109453.0
