row_label_raw,row_label_full,Số cuối năm,Dịch vụ vận tải VND,hàng hải đầu khí VND,Thường mại VND,Tổng VND,numeric__Dịch vụ vận tải VND,numeric__hàng hải đầu khí VND,numeric__Thường mại VND,numeric__Tổng VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,3.018.622.059.917,294.481.443.882,24.478.828.893,3.337.582.332.692,3018622059917.0,294481443882.0,24478828893.0,3337582332692.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,3.176.689.548.323,,,,3176689548323.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,6.514.271.881.015,,,,6514271881015.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.221.008.306.443,215.167.330.781,16.133.148.094,1.452.308.785.318,1221008306443.0,215167330781.0,16133148094.0,1452308785318.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,1.621.306.996.252,,,,1621306996252.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,3.073.615.781.570,,,,3073615781570.0
