row_label_raw,row_label_full,col_0,Thiết bịvăn phòngVND,Phương tiệnvận tảiVND,TổngVND,numeric__Thiết bịvăn phòngVND,numeric__Phương tiệnvận tảiVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,8.610.401.549,1.973.539.844.947,1.982.150.246.496,8610401549.0,1973539844947.0,1982150246496.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,1.281.315.750,245.427.641.652,246.708.957.402,1281315750.0,245427641652.0,246708957402.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(43.684.000),-,(43.684.000),-43684000.0,,-43684000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.848.033.299,2.218.967.486.599,2.228.815.519.898,9848033299.0,2218967486599.0,2228815519898.0
GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Số dư đầu năm,Số dư đầu năm,(5.791.602.220),(762.181.957.473),(767.973.559.693),-5791602220.0,-762181957473.0,-767973559693.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Khấu hao trong năm,Khấu hao trong năm,(2.001.716.180),(217.048.063.305),(219.049.779.485),-2001716180.0,-217048063305.0,-219049779485.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LUỸ KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",43.684.000,-,43.684.000,43684000.0,,43684000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Số dư cuối năm,Số dư cuối năm,(7.749.634.400),(979.230.020.778),(986.979.655.178),-7749634400.0,-979230020778.0,-986979655178.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LAI > Tại ngày cuối năm,Tại ngày cuối năm,2.098.398.899,1.239.737.465.821,1.241.835.864.720,2098398899.0,1239737465821.0,1241835864720.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LAI > Tại ngày đầu năm,Tại ngày đầu năm,2.818.799.329,1.211.357.887.474,1.214.176.686.803,2818799329.0,1211357887474.0,1214176686803.0
