row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,955.762.454.141,484.359.794.468,955762454141.0,484359794468.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.871.867.151.388,2.028.723.239.949,1871867151388.0,2028723239949.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,599.756.262.300,1.039.356.780.999,599756262300.0,1039356780999.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,3.427.385.867.829,3.552.439.815.416,3427385867829.0,3552439815416.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,1.819.698.299.438,1.969.114.741.505,1819698299438.0,1969114741505.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,873.987.541.521,813.498.303.591,873987541521.0,813498303591.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,28.877.281.726,18.367.860.237,28877281726.0,18367860237.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,2.722.563.122.685,2.800.980.905.333,2722563122685.0,2800980905333.0
