row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng cộngVND,numeric__Nhà cửa vàvật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.475.899.903.790,5.736.012.566.502,55.730.441.847,178.811.811.104,8.479.441.874,7.454.934.165.117,1475899903790.0,5736012566502.0,55730441847.0,178811811104.0,8479441874.0,7454934165117.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,780.689.058.455,2.458.684.102.119,-,95.602.034.403,622.530.215.703,3.957.505.410.680,780689058455.0,2458684102119.0,,95602034403.0,622530215703.0,3957505410680.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,275.509.530,33.071.052.965,-,8.390.028.238,-,41.736.590.733,275509530.0,33071052965.0,,8390028238.0,,41736590733.0
Tăng do quyết toán giá trịcông trình,NGUYÊN GIÁ > Tăng do quyết toán giá trịcông trình,Tăng do quyết toán giá trịcông trình,5.768.738.602,7.736.972.869,-,-,6.431.538.727,19.937.250.198,5768738602.0,7736972869.0,,,6431538727.0,19937250198.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.548.163.920),-,-,(66.606.100),-,(4.614.770.020),-4548163920.0,,,-66606100.0,,-4614770020.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.258.085.046.457,8.235.504.694.455,55.730.441.847,282.737.267.645,637.441.196.304,11.469.498.646.708,2258085046457.0,8235504694455.0,55730441847.0,282737267645.0,637441196304.0,11469498646708.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,968.365.294.580,5.407.017.260.523,50.122.934.372,141.972.766.296,7.701.591.782,6.575.179.847.553,968365294580.0,5407017260523.0,50122934372.0,141972766296.0,7701591782.0,6575179847553.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,116.996.309.404,236.334.483.439,2.377.520.060,41.425.233.864,93.030.998.336,490.164.545.103,116996309404.0,236334483439.0,2377520060.0,41425233864.0,93030998336.0,490164545103.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.371.871.667),-,-,(66.606.100),-,(3.438.477.767),-3371871667.0,,,-66606100.0,,-3438477767.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.081.989.732.317,5.643.351.743.962,52.500.454.432,183.331.394.060,100.732.590.118,7.061.905.914.889,1081989732317.0,5643351743962.0,52500454432.0,183331394060.0,100732590118.0,7061905914889.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.176.095.314.140,2.592.152.950.493,3.229.987.415,99.405.873.585,536.708.606.186,4.407.592.731.819,1176095314140.0,2592152950493.0,3229987415.0,99405873585.0,536708606186.0,4407592731819.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,507.534.609.210,328.995.305.979,5.607.507.475,36.839.044.808,777.850.092,879.754.317.564,507534609210.0,328995305979.0,5607507475.0,36839044808.0,777850092.0,879754317564.0
