row_label_raw,row_label_full,col_0,Năm naySố năm,numeric__Năm naySố năm
Quyền sử dụng đất,Quyền sử dụng đất,Quyền sử dụng đất,44 - 50,
"Nhà cửa, vật kiến trúc","Quyền sử dụng đất > Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",25,25.0
