row_label_raw,row_label_full,Ông Lê Cự Tân > Ông Đoàn Văn Nhuộm,Tổng Giám đốc (bố nhiệm ngày 11 tháng 01 năm 2019) > Tổng Giám đốc (miễn nhiệm ngày 11 tháng 01 năm 2019),numeric__Tổng Giám đốc (bố nhiệm ngày 11 tháng 01 năm 2019) > Tổng Giám đốc (miễn nhiệm ngày 11 tháng 01 năm 2019)
Bà Trần Thị Phương Thảo,Bà Trần Thị Phương Thảo,Bà Trần Thị Phương Thảo,Phó Tổng Giám đốc,
Ông Từ Cường,Ông Từ Cường,Ông Từ Cường,Phó Tổng Giám đốc,
Ông Hoàng Việt Dũng,Ông Hoàng Việt Dũng,Ông Hoàng Việt Dũng,Phó Tổng Giám đốc,
Ông Lê Văn Quốc Việt,Ông Lê Văn Quốc Việt,Ông Lê Văn Quốc Việt,Phó Tổng Giám đốc,
Ông Nguyễn Văn Tòng,Ông Nguyễn Văn Tòng,Ông Nguyễn Văn Tòng,Phó Tổng Giám đốc(nghị hưu từ ngày 01 tháng 02 năm 2018),
Ông Dương Trí Hội,Ông Dương Trí Hội,Ông Dương Trí Hội,Phó Tổng Giám đốc,
Bà Lê Thị Thu Hương,Bà Lê Thị Thu Hương,Bà Lê Thị Thu Hương,Phó Tổng Giám đốc,
Ông Võ Ngọc Phương,Ông Võ Ngọc Phương,Ông Võ Ngọc Phương,Kế toán trường,
