row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > VND,Lũy kế từ đầu năm đến cuối năm > Phát sinh tăng > VND,Lũy kế từ đầu năm đến cuối năm > Phát sinh giảm > VND,Số cuối năm > VND,numeric__Số đầu năm > VND,numeric__Lũy kế từ đầu năm đến cuối năm > Phát sinh tăng > VND,numeric__Lũy kế từ đầu năm đến cuối năm > Phát sinh giảm > VND,numeric__Số cuối năm > VND
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,,,,,
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.152.818.774,-,-,3.152.818.774,3152818774.0,,,3152818774.0
Thuế thu nhập cá nhân,a) Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.761.637.567,-,1.328.926.569,1.432.710.998,2761637567.0,,1328926569.0,1432710998.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,5.914.456.341,-,1.328.926.569,4.585.529.772,5914456341.0,,1328926569.0,4585529772.0
,,,,Lũy kế từ đầu năm đến cuối năm,Lũy kế từ đầu năm đến cuối năm,,,,,
,,,Số đầu năm,Số phải nộp,Số đã nộp,Số cuối năm,,,,
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,VND,VND,VND,VND,,,,
Thuế GTGT hàng bán nội địa,b) Các khoản phải trả > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,2.122.744.074,24.706.367.198,23.679.402.548,3.149.708.724,2122744074.0,24706367198.0,23679402548.0,3149708724.0
Thuế GTGT hàng nhập khẩu,b) Các khoản phải trả > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,13.562.103.647,13.562.103.647,-,,13562103647.0,13562103647.0,
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,55.094.222.381,55.094.222.381,-,,55094222381.0,55094222381.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,8.874.014.347,132.953.824.668,129.868.403.160,11.959.435.855,8874014347.0,132953824668.0,129868403160.0,11959435855.0
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,923.312.595,29.140.602.803,29.738.888.409,325.026.989,923312595.0,29140602803.0,29738888409.0,325026989.0
Thuế tài nguyên,b) Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,137.998.560,2.237.126.786,2.112.962.786,262.162.560,137998560.0,2237126786.0,2112962786.0,262162560.0
Thuế bảo vệ môi trường,b) Các khoản phải trả > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,86.000,89.577.160,75.234.920,14.428.240,86000.0,89577160.0,75234920.0,14428240.0
Thuế nhà đất,b) Các khoản phải trả > Thuế nhà đất,Thuế nhà đất,-,1.061.675.734,1.061.675.734,-,,1061675734.0,1061675734.0,
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,7.000.000,7.000.000,-,,7000000.0,7000000.0,
Thuế nhà thầu nước ngoài,b) Các khoản phải trả > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,17.873.058.821,17.873.058.821,,,17873058821.0,17873058821.0,
Cộng,b) Các khoản phải trả > Cộng,Cộng,12.058.155.576,276.725.559.198,273.072.952.406,15.710.762.958,12058155576.0,276725559198.0,273072952406.0,15710762958.0
