row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,Giá gốc,Dự phòng,Giá trị hợp lý,Giá gốc,Dự phòng,Giá trị hợp lý,,,,,,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,,,,
Đầu tư vào công ty con,Đầu tư góp vốn vào đơn vị khác > Đầu tư vào công ty con,Đầu tư vào công ty con,386.250.000.000,-,276.187.500.000,386.250.000.000,-,376.575.000.000,386250000000.0,,276187500000.0,386250000000.0,,376575000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,75.000.000.000,-,48.000.000.000,75.000.000.000,-,82.500.000.000,75000000000.0,,48000000000.0,75000000000.0,,82500000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,127.500.000.000,-,90.525.000.000,127.500.000.000,-,122.400.000.000,127500000000.0,,90525000000.0,127500000000.0,,122400000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,93.750.000.000,-,66.562.500.000,93.750.000.000,-,84.375.000.000,93750000000.0,,66562500000.0,93750000000.0,,84375000000.0
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,90.000.000.000,-,71.100.000.000,90.000.000.000,-,87.300.000.000,90000000000.0,,71100000000.0,90000000000.0,,87300000000.0
Đầu tư vào công ty liên kết,Đầu tư góp vốn vào đơn vị khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,680.903.000.000,(662.700.000.000),26.758.116.000,680.903.000.000,(662.700.000.000),33.675.180.000,680903000000.0,-662700000000.0,26758116000.0,680903000000.0,-662700000000.0,33675180000.0
Công ty Cổ phần Phát triển Đô thị Dầu khí,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,100.000.000.000,(100.000.000.000),,100.000.000.000,(100.000.000.000),,100000000000.0,-100000000000.0,,100000000000.0,-100000000000.0,
Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí,562.700.000.000,(562.700.000.000),,562.700.000.000,(562.700.000.000),,562700000000.0,-562700000000.0,,562700000000.0,-562700000000.0,
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,18.203.000.000,-,26.758.116.000,18.203.000.000,-,33.675.180.000,18203000000.0,,26758116000.0,18203000000.0,,33675180000.0
Đầu tư vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác > Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,20.502.000.000,(2.237.291.264),,20.502.000.000,(2.383.535.351),,20502000000.0,-2237291264.0,,20502000000.0,-2383535351.0,
"Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin, Viễn thông và Tự động hóa Dầu khí",3.600.000.000,-,,3.600.000.000,-,,3600000000.0,,,3600000000.0,,
Công ty Cổ phần Chế biển Thủy sản Út Xi,Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Chế biển Thủy sản Út Xi,Công ty Cổ phần Chế biển Thủy sản Út Xi,16.902.000.000,(2.237.291.264),,16.902.000.000,(2.383.535.351),,16902000000.0,-2237291264.0,,16902000000.0,-2383535351.0,
