row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,863.151.432.343,847.205.735.243,,1.0,863151432343.0,847205735243.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,
,,,Khẩu hao tài sản cố định và bất động sản đầu tư,02,502.685.512.656,174.098.510.485,,2.0,502685512656.0,174098510485.0
,,,Các khoản dự phòng,03,34.546.827.364,162.804.499.175,,3.0,34546827364.0,162804499175.0
,,,Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,8.152.694.428,534.131.424,,4.0,8152694428.0,534131424.0
,,,(Lãi) từ hoạt động đầu tư,05,(152.993.199.573),(198.485.599.091),,5.0,-152993199573.0,-198485599091.0
,,,Chi phí lãi vay,06,62.465.039.341,-,,6.0,62465039341.0,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,1.318.008.306.559,986.157.277.236,,8.0,1318008306559.0,986157277236.0
,,,"Tăng, giảm các khoản phải thu",09,(353.810.332.836),(79.042.047.448),,9.0,-353810332836.0,-79042047448.0
