row_label_raw,row_label_full,Cổ đông > Tập đoàn Dầu khí Việt Nam,Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi > 2.332.042.530.000,"Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi > VND % > 59,58",Vốn đã góp tại ngày > Số cuối năm VND > 2.332.042.530.000,Vốn đã góp tại ngày > Số đầu năm VND > 2.332.042.530.000,numeric__Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi > 2.332.042.530.000,"numeric__Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi > VND % > 59,58",numeric__Vốn đã góp tại ngày > Số cuối năm VND > 2.332.042.530.000,numeric__Vốn đã góp tại ngày > Số đầu năm VND > 2.332.042.530.000
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,1.581.957.470.000,"40,42",1.581.957.470.000,1.581.957.470.000,1581957470000.0,40.42,1581957470000.0,1581957470000.0
,,,3.914.000.000.000,100,3.914.000.000.000,3.914.000.000.000,3914000000000.0,100.0,3914000000000.0,3914000000000.0
