row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,VND,VND,VND,VND,,,,
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,493.952.468.210,-,73.460.998.699,-,493952468210.0,,73460998699.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",354.525.480.392,-,471.364.021.730,-,354525480392.0,,471364021730.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",9.474.511.905,-,13.799.682.450,-,9474511905.0,,13799682450.0,
"Thiết bị, vật tư, phụ tùng thay thể dài hạn","Thiết bị, vật tư, phụ tùng thay thể dài hạn","Thiết bị, vật tư, phụ tùng thay thể dài hạn",109.307.114.725,-,117.719.923.766,-,109307114725.0,,117719923766.0,
"Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang",52.402.311.756,-,29.396.867.934,-,52402311756.0,,29396867934.0,
Thành phẩm,Thành phẩm,Thành phẩm,216.937.379.534,-,164.958.954.394,-,216937379534.0,,164958954394.0,
Hàng hoá,Hàng hoá,Hàng hoá,238.741.401.410,-,297.527.841.445,-,238741401410.0,,297527841445.0,
Cộng,Cộng,Cộng,1.475.340.667.932,-,1.168.228.290.418,-,1475340667932.0,,1168228290418.0,
