row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2017,Tại ngày 01/01/2017 (Xem TM số 9),numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2017,numeric__Tại ngày 01/01/2017 (Xem TM số 9)
A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,100,,887.047.836.749,841.483.976.454,100.0,,887047836749.0,841483976454.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,(4.1),97.140.261.573,177.967.898.503,110.0,-41.0,97140261573.0,177967898503.0
1. Tiền,1. Tiền,1. Tiền,111,,97.140.261.573,57.153.898.503,111.0,,97140261573.0,57153898503.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,,120.814.000.000,112.0,,,120814000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,675.435.000.000,300.000.000.000,120.0,,675435000000.0,300000000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,(4.2),675.435.000.000,300.000.000.000,123.0,-42.0,675435000000.0,300000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,61.574.148.447,311.179.104.249,130.0,,61574148447.0,311179104249.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,(4.3),46.586.519.526,58.714.734.176,131.0,-43.0,46586519526.0,58714734176.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,(4.4),1.074.995.100,241.737.361.722,132.0,-44.0,1074995100.0,241737361722.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,(4.5),14.408.330.917,10.727.008.351,136.0,-45.0,14408330917.0,10727008351.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,(4.7),(495.697.096),,137.0,-47.0,-495697096.0,
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,11.315.942.096,18.755.715.076,140.0,,11315942096.0,18755715076.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,(4.6),11.315.942.096,18.755.715.076,141.0,-46.0,11315942096.0,18755715076.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,41.582.484.633,33.581.258.626,150.0,,41582484633.0,33581258626.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,(4.12),25.410.152.284,523.467.502,151.0,-412.0,25410152284.0,523467502.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,(4.14),1.792.617.849,,152.0,-414.0,1792617849.0,
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,(4.14),14.379.714.500,33.057.791.124,153.0,-414.0,14379714500.0,33057791124.0
