row_label_raw,row_label_full,Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,Từ 01/01/2017đến 31/12/2017VND > 12.057.696.579,Từ 01/02/2016đến 31/12/2016VND > 968.053.013,numeric__Từ 01/01/2017đến 31/12/2017VND > 12.057.696.579,numeric__Từ 01/02/2016đến 31/12/2016VND > 968.053.013
Điều chỉnh chi phí thuế TNDN bị truy thu,Điều chỉnh chi phí thuế TNDN bị truy thu,Điều chỉnh chi phí thuế TNDN bị truy thu,-,-,,
Tổng chi phí thuế TNDN hiện hành,Điều chỉnh chi phí thuế TNDN bị truy thu > Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,12.057.696.579,968.053.013,12057696579.0,968053013.0
