row_label_raw,row_label_full,col_0,Tại ngày 31/12/2017,Tại ngày 31/12/2017_1,Tại ngày 31/12/2017_2,Tại ngày 01/01/2017,Tại ngày 01/01/2017_1,Tại ngày 01/01/2017_2,numeric__Tại ngày 31/12/2017,numeric__Tại ngày 31/12/2017_1,numeric__Tại ngày 31/12/2017_2,numeric__Tại ngày 01/01/2017,numeric__Tại ngày 01/01/2017_1,numeric__Tại ngày 01/01/2017_2
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,Giá trị ghi số,Giá trị hợp lý,Dự phòng,Giá trị ghi số,Giá trị hợp lý,Dự phòng,,,,,,
Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,Đầu tư vào đơn vị khác:,,,,,,
Công ty Cổ phần Đầu tư Xây dựng Cầu Đồng Nai,Đầu tư vào đơn vị khác: > Công ty Cổ phần Đầu tư Xây dựng Cầu Đồng Nai,Công ty Cổ phần Đầu tư Xây dựng Cầu Đồng Nai,72.516.189.000,,-,-,,-,72516189000.0,,,,,
Công ty Cổ phần Dầu khí Đầu tư Khai thác Cảng Phước An,Đầu tư vào đơn vị khác: > Công ty Cổ phần Dầu khí Đầu tư Khai thác Cảng Phước An,Công ty Cổ phần Dầu khí Đầu tư Khai thác Cảng Phước An,71.446.310.986,,570.422.308,71.446.310.986,,-,71446310986.0,,570422308.0,71446310986.0,,
Công ty Cổ phần Amata,Đầu tư vào đơn vị khác: > Công ty Cổ phần Amata,Công ty Cổ phần Amata,41.550.395.294,,-,41.550.395.294,,-,41550395294.0,,,41550395294.0,,
Công ty Cổ phần BOT 319 Cường Thuận CTI,Đầu tư vào đơn vị khác: > Công ty Cổ phần BOT 319 Cường Thuận CTI,Công ty Cổ phần BOT 319 Cường Thuận CTI,14.000.000.000,,-,-,,-,14000000000.0,,,,,
Công ty Cổ phần Công trình Giao thông Đồng Nai,Đầu tư vào đơn vị khác: > Công ty Cổ phần Công trình Giao thông Đồng Nai,Công ty Cổ phần Công trình Giao thông Đồng Nai,1.711.890.000,2.580.240.000,-,-,,-,1711890000.0,2580240000.0,,,,
Công ty TNHH Quảng cáo Mixa,Đầu tư vào đơn vị khác: > Công ty TNHH Quảng cáo Mixa,Công ty TNHH Quảng cáo Mixa,-,,-,819.568.880,,-,,,,819568880.0,,
Ngân hàng TMCP Phát triển TP.HCM,Đầu tư vào đơn vị khác: > Ngân hàng TMCP Phát triển TP.HCM,Ngân hàng TMCP Phát triển TP.HCM,-,,-,20.739.681.481,,-,,,,20739681481.0,,
Cộng,Đầu tư vào đơn vị khác: > Cộng,Cộng,201.224.785.280,,570.422.308,134.555.956.641,,-,201224785280.0,,570422308.0,134555956641.0,,
