row_label_raw,row_label_full,col_0,Tại ngày31/12/2017,Tại ngày01/01/2017,numeric__Tại ngày31/12/2017,numeric__Tại ngày01/01/2017
Ngoại tệ các loại:,Ngoại tệ các loại:,Ngoại tệ các loại:,Ngoại tệ các loại:,Ngoại tệ các loại:,,
USD,Ngoại tệ các loại: > USD,USD,"2.228,57","2.628,49",2228.57,2628.49
EUR,Ngoại tệ các loại: > EUR,EUR,"1.835,00","1.835,00",1835.0,1835.0
,,,Tại ngày31/12/2017VND,Tại ngày01/01/2017VND,,
Nợ khó đòi đã xử lý:,Nợ khó đòi đã xử lý:,Nợ khó đòi đã xử lý:,Nợ khó đòi đã xử lý:,Nợ khó đòi đã xử lý:,,
Công ty Coast Total Phong Phú,Nợ khó đòi đã xử lý: > Công ty Coast Total Phong Phú,Công ty Coast Total Phong Phú,222.974.846,222.974.846,222974846.0,222974846.0
Công ty TNHH An Hưng,Nợ khó đòi đã xử lý: > Công ty TNHH An Hưng,Công ty TNHH An Hưng,67.398.000,67.398.000,67398000.0,67398000.0
Công ty TNHH Viko Glowin,Nợ khó đòi đã xử lý: > Công ty TNHH Viko Glowin,Công ty TNHH Viko Glowin,1.114.959.420,1.114.959.420,1114959420.0,1114959420.0
Công ty Rượu Sâm-panh Matxcova,Nợ khó đòi đã xử lý: > Công ty Rượu Sâm-panh Matxcova,Công ty Rượu Sâm-panh Matxcova,5.644.735.268,5.644.735.268,5644735268.0,5644735268.0
Công ty TNHH TN. Intertrade Việt Nam,Nợ khó đòi đã xử lý: > Công ty TNHH TN. Intertrade Việt Nam,Công ty TNHH TN. Intertrade Việt Nam,730.273.659,730.273.659,730273659.0,730273659.0
Công ty TNHH Sản xuất Đông Nam,Nợ khó đòi đã xử lý: > Công ty TNHH Sản xuất Đông Nam,Công ty TNHH Sản xuất Đông Nam,1.136.758.000,1.136.758.000,1136758000.0,1136758000.0
"Liên Doanh Lenex, Sản xuất Vật liệu & Thiết bị Xây dựng","Nợ khó đòi đã xử lý: > Liên Doanh Lenex, Sản xuất Vật liệu & Thiết bị Xây dựng","Liên Doanh Lenex, Sản xuất Vật liệu & Thiết bị Xây dựng",68.934.450,68.934.450,68934450.0,68934450.0
Công ty Vận tải thủy bộ Đồng Nai,Nợ khó đòi đã xử lý: > Công ty Vận tải thủy bộ Đồng Nai,Công ty Vận tải thủy bộ Đồng Nai,861.683.261,861.683.261,861683261.0,861683261.0
Cộng,Nợ khó đòi đã xử lý: > Cộng,Cộng,9.847.716.904,9.847.716.904,9847716904.0,9847716904.0
