row_label_raw,row_label_full,Khoản mục,Tại ngày01/01/2017VND,Tăng trong nămVND,Giảm trong nămVND,Tại ngày31/12/2017VND,numeric__Tại ngày01/01/2017VND,numeric__Tăng trong nămVND,numeric__Giảm trong nămVND,numeric__Tại ngày31/12/2017VND
Bất động sản đầu tư cho thuê:,Bất động sản đầu tư cho thuê:,Bất động sản đầu tư cho thuê:,Bất động sản đầu tư cho thuê:,Bất động sản đầu tư cho thuê:,Bất động sản đầu tư cho thuê:,Bất động sản đầu tư cho thuê:,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tòa nhà Sonadezi,Nguyên giá: > Tòa nhà Sonadezi,Tòa nhà Sonadezi,295.493.774.416,4.312.255.503,(299.806.029.919),-,295493774416.0,4312255503.0,-299806029919.0,
Văn phòng KDC AnBình (Lô E),Nguyên giá: > Văn phòng KDC AnBình (Lô E),Văn phòng KDC AnBình (Lô E),10.015.652.148,200.313.043,(10.215.965.191),-,10015652148.0,200313043.0,-10215965191.0,
Nhà xưởng cho thuê,Nguyên giá: > Nhà xưởng cho thuê,Nhà xưởng cho thuê,32.138.685.202,27.621.640.231,(59.760.325.433),-,32138685202.0,27621640231.0,-59760325433.0,
Chi phí đến bù,Nguyên giá: > Chi phí đến bù,Chi phí đến bù,565.292.683.748,-,(565.292.683.748),-,565292683748.0,,-565292683748.0,
Cơ sở hạ tầngKCN Giang Điền,Nguyên giá: > Cơ sở hạ tầngKCN Giang Điền,Cơ sở hạ tầngKCN Giang Điền,199.026.158.267,33.517.959.462,(232.544.117.729),-,199026158267.0,33517959462.0,-232544117729.0,
Cơ sở hạ tầngKCN Biên Hòa 1,Nguyên giá: > Cơ sở hạ tầngKCN Biên Hòa 1,Cơ sở hạ tầngKCN Biên Hòa 1,111.388.439.863,-,-,111.388.439.863,111388439863.0,,,111388439863.0
Cộng,Nguyên giá: > Cộng,Cộng,1.213.355.393.644,65.652.168.239,(1.167.619.122.020),111.388.439.863,1213355393644.0,65652168239.0,-1167619122020.0,111388439863.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tòa nhà Sonadezi,Giá trị hao mòn lũy kế: > Tòa nhà Sonadezi,Tòa nhà Sonadezi,61.820.273.584,6.531.854.992,(68.352.128.576),-,61820273584.0,6531854992.0,-68352128576.0,
Văn phòng KDC AnBình (Lô E),Giá trị hao mòn lũy kế: > Văn phòng KDC AnBình (Lô E),Văn phòng KDC AnBình (Lô E),5.778.458.529,337.894.208,(6.116.352.737),-,5778458529.0,337894208.0,-6116352737.0,
Nhà xưởng cho thuê,Giá trị hao mòn lũy kế: > Nhà xưởng cho thuê,Nhà xưởng cho thuê,12.317.016.932,2.764.490.888,(15.081.507.820),-,12317016932.0,2764490888.0,-15081507820.0,
Chi phí đến bù,Giá trị hao mòn lũy kế: > Chi phí đến bù,Chi phí đến bù,50.834.800.211,6.127.502.638,(56.962.302.849),-,50834800211.0,6127502638.0,-56962302849.0,
Cơ sở hạ tầngKCN Giang Điền,Giá trị hao mòn lũy kế: > Cơ sở hạ tầngKCN Giang Điền,Cơ sở hạ tầngKCN Giang Điền,86.912.947.732,13.435.614.010,(100.348.561.742),-,86912947732.0,13435614010.0,-100348561742.0,
Cơ sở hạ tầngKCN Biên Hòa 1,Giá trị hao mòn lũy kế: > Cơ sở hạ tầngKCN Biên Hòa 1,Cơ sở hạ tầngKCN Biên Hòa 1,102.303.872.214,2.318.245.172,-,104.622.117.386,102303872214.0,2318245172.0,,104622117386.0
Cộng,Giá trị hao mòn lũy kế: > Cộng,Cộng,319.967.369.202,31.515.601.908,(246.860.853.724),104.622.117.386,319967369202.0,31515601908.0,-246860853724.0,104622117386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tòa nhà Sonadezi,Giá trị còn lại: > Tòa nhà Sonadezi,Tòa nhà Sonadezi,233.673.500.832,,,-,233673500832.0,,,
Văn phòng KDC AnBình (Lô E),Giá trị còn lại: > Văn phòng KDC AnBình (Lô E),Văn phòng KDC AnBình (Lô E),4.237.193.619,,,-,4237193619.0,,,
Nhà xưởng cho thuê,Giá trị còn lại: > Nhà xưởng cho thuê,Nhà xưởng cho thuê,19.821.668.270,,,-,19821668270.0,,,
Chi phí đến bù,Giá trị còn lại: > Chi phí đến bù,Chi phí đến bù,514.457.883.537,,,-,514457883537.0,,,
Cơ sở hạ tầngKCN Giang Điền,Giá trị còn lại: > Cơ sở hạ tầngKCN Giang Điền,Cơ sở hạ tầngKCN Giang Điền,112.113.210.535,,,-,112113210535.0,,,
Cơ sở hạ tầngKCN Biên Hòa 1,Giá trị còn lại: > Cơ sở hạ tầngKCN Biên Hòa 1,Cơ sở hạ tầngKCN Biên Hòa 1,9.084.567.649,,,6.766.322.477,9084567649.0,,,6766322477.0
Cộng,Giá trị còn lại: > Cộng,Cộng,893.388.024.442,,,6.766.322.477,893388024442.0,,,6766322477.0
