row_label_raw,row_label_full,Lợi nhuận kế toán trước thuế trong năm,Từ 01/01/2017đến 31/12/2017VND > 271.648.018.323,Từ 01/02/2016đến 31/12/2016VND > 107.161.836.879,numeric__Từ 01/01/2017đến 31/12/2017VND > 271.648.018.323,numeric__Từ 01/02/2016đến 31/12/2016VND > 107.161.836.879
Cộng: Các khoản điều chỉnh tăng,Cộng: Các khoản điều chỉnh tăng,Cộng: Các khoản điều chỉnh tăng,1.339.511.867,711.685.900,1339511867.0,711685900.0
Trữ: Thu nhập được miễn thuế,Trữ: Thu nhập được miễn thuế,Trữ: Thu nhập được miễn thuế,(212.699.047.293),(43.166.526.000),-212699047293.0,-43166526000.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,60.288.482.897,64.706.996.779,60288482897.0,64706996779.0
Lỗ các năm trước được chuyển,Lỗ các năm trước được chuyển,Lỗ các năm trước được chuyển,-,(59.866.731.714),,-59866731714.0
Thu nhập tính thuế,Thu nhập tính thuế,Thu nhập tính thuế,60.288.482.897,4.840.265.065,60288482897.0,4840265065.0
Thuế suất thuế TNDN hiện hành,Thuế suất thuế TNDN hiện hành,Thuế suất thuế TNDN hiện hành,20%,20%,0.2,0.2
Chi phí thuế TNDN tính trên thu nhập chịu thuệnăm hiện hành,Chi phí thuế TNDN tính trên thu nhập chịu thuệnăm hiện hành,Chi phí thuế TNDN tính trên thu nhập chịu thuệnăm hiện hành,12.057.696.579,968.053.013,12057696579.0,968053013.0
