row_label_raw,row_label_full,NGUỒN VỐN,Mã số,TM,Tại ngày 31/12/2017,Tại ngày 01/01/2017 (Xem TM số 9),numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2017,numeric__Tại ngày 01/01/2017 (Xem TM số 9)
C. Nợ PHẢI TRẢ,C. Nợ PHẢI TRẢ,C. Nợ PHẢI TRẢ,300,,147.406.523.374,1.104.921.940.307,300.0,,147406523374.0,1104921940307.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,111.096.151.999,190.878.257.074,310.0,,111096151999.0,190878257074.0
1. Nợ phải trả người bán ngắn hạn,1. Nợ phải trả người bán ngắn hạn,1. Nợ phải trả người bán ngắn hạn,311,(4.13),42.283.107.932,40.385.322.245,311.0,-413.0,42283107932.0,40385322245.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,,4.214.830.751,312.0,,,4214830751.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,(4.14),918.413.620,1.429.094.551,313.0,-414.0,918413620.0,1429094551.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,(4.15),5.450.096.163,2.597.249.330,314.0,-415.0,5450096163.0,2597249330.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,(4.16),38.072.591.221,85.522.193.196,315.0,-416.0,38072591221.0,85522193196.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,(4.17),979.037.798,26.630.391.112,318.0,-417.0,979037798.0,26630391112.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,(4.18),11.069.667.555,21.424.072.505,319.0,-418.0,11069667555.0,21424072505.0
"8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi",322,(4.20),12.323.237.710,8.675.103.384,322.0,-420.0,12323237710.0,8675103384.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,36.310.371.375,914.043.683.233,330.0,,36310371375.0,914043683233.0
1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,336,(4.17),2.710.371.375,866.517.812.675,336.0,-417.0,2710371375.0,866517812675.0
2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,337,(4.19),33.600.000.000,47.525.870.558,337.0,-419.0,33600000000.0,47525870558.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,4.114.872.335.610,4.035.288.467.526,400.0,,4114872335610.0,4035288467526.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,(4.21),4.114.872.335.610,4.035.288.467.526,410.0,-421.0,4114872335610.0,4035288467526.0
1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,411,,3.765.000.000.000,3.083.219.736.832,411.0,,3765000000000.0,3083219736832.0
Cổ phiếu phổ thông có quyền biểu quyết,Cổ phiếu phổ thông có quyền biểu quyết,Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.765.000.000.000,,,,3765000000000.0,
2. Chênh lệch đánh giá lại tài sản,2. Chênh lệch đánh giá lại tài sản,2. Chênh lệch đánh giá lại tài sản,416,,,680.838.668.006,416.0,,,680838668006.0
3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,418,,5.706.000.000,,418.0,,5706000000.0,
4. Quỹ hỗ trợ sắp xếp doanh nghiệp,4. Quỹ hỗ trợ sắp xếp doanh nghiệp,4. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,,50.818.271.758,419.0,,,50818271758.0
5. Lợi nhuận sau thuế chưa phân phối,5. Lợi nhuận sau thuế chưa phân phối,5. Lợi nhuận sau thuế chưa phân phối,421,,344.166.335.610,220.411.790.930,421.0,,344166335610.0,220411790930.0
LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,LNST chưa phân phối lũy kế đến CK trước,421a,,99.348.413.866,116.718.007.064,,,99348413866.0,116718007064.0
LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,LNST chưa phân phối kỳ này,421b,,244.817.921.744,103.693.783.866,,,244817921744.0,103693783866.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,4.262.278.858.984,5.140.210.407.833,440.0,,4262278858984.0,5140210407833.0
