row_label_raw,row_label_full,col_0,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,numeric__Từ 01/01/2017đến 31/12/2017VND,numeric__Từ 01/02/2016đến 31/12/2016VND
"Mua hàng hóa, dịch vụ:Công ty Cổ phần Xây dựng Dân dụng công nghiệpSố 1 - Đồng Nai","Mua hàng hóa, dịch vụ:Công ty Cổ phần Xây dựng Dân dụng công nghiệpSố 1 - Đồng Nai","Mua hàng hóa, dịch vụ:Công ty Cổ phần Xây dựng Dân dụng công nghiệpSố 1 - Đồng Nai",3.254.344.134,9.260.944.355,3254344134.0,9260944355.0
Công ty Cổ phần Sonadezi An Bình,Công ty Cổ phần Sonadezi An Bình,Công ty Cổ phần Sonadezi An Bình,538.007.490,4.289.957.736,538007490.0,4289957736.0
Công ty Cổ phần Dịch vụ Sonadezi,Công ty Cổ phần Dịch vụ Sonadezi,Công ty Cổ phần Dịch vụ Sonadezi,1.216.913.783,2.628.619.975,1216913783.0,2628619975.0
Công ty Cổ phần Cấp Nước Đồng Nai,Công ty Cổ phần Cấp Nước Đồng Nai,Công ty Cổ phần Cấp Nước Đồng Nai,1.515.876.525,2.164.029.250,1515876525.0,2164029250.0
Công ty Cổ phần Sonadezi Châu Đức,Công ty Cổ phần Sonadezi Châu Đức,Công ty Cổ phần Sonadezi Châu Đức,4.102.138.986,457.969.367,4102138986.0,457969367.0
Công ty Cổ phần Môi trường Sonadezi,Công ty Cổ phần Môi trường Sonadezi,Công ty Cổ phần Môi trường Sonadezi,47.340.000,138.959.400,47340000.0,138959400.0
Công ty Cổ phần Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền,2.870.395.909,-,2870395909.0,
Cộng,Cộng,Cộng,13.545.016.827,18.940.480.083,13545016827.0,18940480083.0
,,,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 12/12/2016VND,,
Cung cấp dịch vụ:Công ty Cổ phần Dịch vụ Sonadezi,Cung cấp dịch vụ:Công ty Cổ phần Dịch vụ Sonadezi,Cung cấp dịch vụ:Công ty Cổ phần Dịch vụ Sonadezi,797.152.637,1.197.340.098,797152637.0,1197340098.0
Công ty Cổ phần Sonadezi Châu Đức,Công ty Cổ phần Sonadezi Châu Đức,Công ty Cổ phần Sonadezi Châu Đức,409.837.618,808.449.924,409837618.0,808449924.0
Công ty Cổ phần Sonadezi An Bình,Công ty Cổ phần Sonadezi An Bình,Công ty Cổ phần Sonadezi An Bình,549.063.068,239.738.733,549063068.0,239738733.0
Công ty Cổ phần Sơn Đồng Nai,Công ty Cổ phần Sơn Đồng Nai,Công ty Cổ phần Sơn Đồng Nai,183.303.577,180.670.207,183303577.0,180670207.0
Công ty Cổ phần Công trình Giao thôngĐồng Nai,Công ty Cổ phần Công trình Giao thôngĐồng Nai,Công ty Cổ phần Công trình Giao thôngĐồng Nai,-,145.611.339,,145611339.0
Công ty Cổ phần Vận tải Thủy bộ Vĩnh Phú,Công ty Cổ phần Vận tải Thủy bộ Vĩnh Phú,Công ty Cổ phần Vận tải Thủy bộ Vĩnh Phú,-,139.238.340,,139238340.0
Công ty Cổ phần Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền,94.823.201,-,94823201.0,
Công ty Cổ phần Xây dựng dân dụngCông Nghiệp Số 1 - Đồng Nai,Công ty Cổ phần Xây dựng dân dụngCông Nghiệp Số 1 - Đồng Nai,Công ty Cổ phần Xây dựng dân dụngCông Nghiệp Số 1 - Đồng Nai,1.644.500,31.948.865,1644500.0,31948865.0
Công ty Cổ phần Môi trường sonadezi,Công ty Cổ phần Môi trường sonadezi,Công ty Cổ phần Môi trường sonadezi,-,909.091,,909091.0
Cộng - Xem thêm mục 5.1,Cộng - Xem thêm mục 5.1,Cộng - Xem thêm mục 5.1,2.035.824.601,2.743.906.597,2035824601.0,2743906597.0
