row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúcVND","Phương tiện vântài, truyền đầNVND","Thiết bị,dụng cụ quản lýVND",CộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Phương tiện vântài, truyền đầNVND","numeric__Thiết bị,dụng cụ quản lýVND",numeric__CộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Tại ngày 01/01/2017,Nguyên giá: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,62.375.972.750,7.509.133.351,5.234.999.828,75.120.105.929,62375972750.0,7509133351.0,5234999828.0,75120105929.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,114.234.252,2.198.000.000,70.180.000,2.382.414.252,114234252.0,2198000000.0,70180000.0,2382414252.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,3.081.872.995,-,-,3.081.872.995,3081872995.0,,,3081872995.0
Tăng do đánh giá lại tài sản,Nguyên giá: > Tăng do đánh giá lại tài sản,Tăng do đánh giá lại tài sản,607.449.300,-,-,607.449.300,607449300.0,,,607449300.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(335.266.000),-,(335.266.000),,-335266000.0,,-335266000.0
Giảm do góp vốn vàocông ty con,Nguyên giá: > Giảm do góp vốn vàocông ty con,Giảm do góp vốn vàocông ty con,(62.532.938.038),(2.812.787.870),(3.900.762.813),(69.246.488.721),-62532938038.0,-2812787870.0,-3900762813.0,-69246488721.0
Tại ngày 31/12/2017,Nguyên giá: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,3.646.591.259,6.559.079.481,1.404.417.015,11.610.087.755,3646591259.0,6559079481.0,1404417015.0,11610087755.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Tại ngày 01/01/2017,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,28.297.735.579,3.583.465.788,3.069.404.080,34.950.605.447,28297735579.0,3583465788.0,3069404080.0,34950605447.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,3.170.481.741,866.670.137,415.271.660,4.452.423.538,3170481741.0,866670137.0,415271660.0,4452423538.0
Giảm do đánh giá lại tài sản,Giá trị hao mòn lũy kế: > Giảm do đánh giá lại tài sản,Giảm do đánh giá lại tài sản,(8.065.315.084),(346.889.653),(447.070.403),(8.859.275.140),-8065315084.0,-346889653.0,-447070403.0,-8859275140.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(247.724.323),-,(247.724.323),,-247724323.0,,-247724323.0
Giảm do góp vốn vàocông ty con,Giá trị hao mòn lũy kế: > Giảm do góp vốn vàocông ty con,Giảm do góp vốn vàocông ty con,(19.756.310.977),(1.125.879.673),(1.970.717.017),(22.852.907.667),-19756310977.0,-1125879673.0,-1970717017.0,-22852907667.0
Tại ngày 31/12/2017,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,3.646.591.259,2.729.642.276,1.066.888.320,7.443.121.855,3646591259.0,2729642276.0,1066888320.0,7443121855.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Tại ngày 01/01/2017,Giá trị còn lại: > Tại ngày 01/01/2017,Tại ngày 01/01/2017,34.078.237.171,3.925.667.563,2.165.595.748,40.169.500.482,34078237171.0,3925667563.0,2165595748.0,40169500482.0
Tại ngày 31/12/2017,Giá trị còn lại: > Tại ngày 31/12/2017,Tại ngày 31/12/2017,-,3.829.437.205,337.528.695,4.166.965.900,,3829437205.0,337528695.0,4166965900.0
