row_label_raw,row_label_full,col_0,Tại ngày 31/12/2017VND,Tại ngày 31/12/2017VND_1,Tại ngày 01/01/2017VND,Tại ngày 01/01/2017VND_1,numeric__Tại ngày 31/12/2017VND,numeric__Tại ngày 31/12/2017VND_1,numeric__Tại ngày 01/01/2017VND,numeric__Tại ngày 01/01/2017VND_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",-,-,2.265.179,-,,,2265179.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",9.520.000,-,15.315.792,-,9520000.0,,15315792.0,
Chi phí sản xuất kinh doanhđở dang:,Chi phí sản xuất kinh doanhđở dang:,Chi phí sản xuất kinh doanhđở dang:,10.900.037.096,-,18.505.403.710,-,10900037096.0,,18505403710.0,
Mỏ đá Xuân Hòa,Mỏ đá Xuân Hòa,Mỏ đá Xuân Hòa,5.090.930.499,-,1.303.630.357,-,5090930499.0,,1303630357.0,
Chuyển đổi công năng KCN,Chuyển đổi công năng KCN,Chuyển đổi công năng KCN,3.833.608.907,-,987.166.617,-,3833608907.0,,987166617.0,
Biên Hòa 1,Biên Hòa 1,Biên Hòa 1,,,,,,,,
Khu dân cư An Bình,Biên Hòa 1 > Khu dân cư An Bình,Khu dân cư An Bình,-,-,6.502.228.129,-,,,6502228129.0,
Cầu Hóa An,Biên Hòa 1 > Cầu Hóa An,Cầu Hóa An,-,-,7.571.865.772,-,,,7571865772.0,
Khác,Biên Hòa 1 > Khác,Khác,1.975.497.690,-,2.140.512.835,-,1975497690.0,,2140512835.0,
Hàng hóa,Biên Hòa 1 > Hàng hóa,Hàng hóa,406.385.000,-,232.730.395,-,406385000.0,,232730395.0,
Cộng,Biên Hòa 1 > Cộng,Cộng,11.315.942.096,-,18.755.715.076,-,11315942096.0,,18755715076.0,
