row_label_raw,row_label_full,CHỈ TIÊU,Mã số,TM,Từ 01/01/2017 đến 31/12/2017,Từ 01/02/2016 đến 31/12/2016 (Xem TM số 9),numeric__Mã số,numeric__TM,numeric__Từ 01/01/2017 đến 31/12/2017,numeric__Từ 01/02/2016 đến 31/12/2016 (Xem TM số 9)
I. LƯỢU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯỢU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯỢU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯỢU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯỢU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯỢU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯỢU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế,I. LƯỢU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,271.648.018.323,107.161.836.879,1.0,,271648018323.0,107161836879.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
Khấu hao TSCĐ và BĐSĐT,2. Điều chỉnh cho các khoản > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,(5.7),43.138.632.122,60.286.417.335,2.0,-57.0,43138632122.0,60286417335.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,3.741.401.921,3.601.250.000,3.0,,3741401921.0,3601250000.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,(5.767.722),,4.0,,-5767722.0,
"Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,,(263.321.074.394),(62.261.470.544),5.0,,-263321074394.0,-62261470544.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,,176.508.950,12.423.814.063,6.0,,176508950.0,12423814063.0
3. Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,55.377.719.200,121.211.847.733,8.0,,55377719200.0,121211847733.0
"Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,,321.062.384.920,220.811.897.632,9.0,,321062384920.0,220811897632.0
"Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,,13.423.700.847,82.500.871.760,10.0,,13423700847.0,82500871760.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,(335.242.245.767),277.073.635.209,11.0,,-335242245767.0,277073635209.0
"Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,,131.285.596.169,(71.140.048.224),12.0,,131285596169.0,-71140048224.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,,(12.423.979.063),14.0,,,-12423979063.0
Tiền thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > Tiền thuế thu nhập doanh nghiệp đã nộp,Tiền thuế thu nhập doanh nghiệp đã nộp,15,(4.14),(15.670.975.353),,15.0,-414.0,-15670975353.0,
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,14.786.618.599,6.971.908.621,16.0,,14786618599.0,6971908621.0
Tiền chi khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Tiền chi khác từ hoạt động kinh doanh,Tiền chi khác từ hoạt động kinh doanh,17,,(93.300.807.249),(19.073.218.670),17.0,,-93300807249.0,-19073218670.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,91.721.991.366,605.932.914.998,20.0,,91721991366.0,605932914998.0
