row_label_raw,row_label_full,col_0,Tại ngày31/12/2017VND,Tại ngày01/01/2017VND,numeric__Tại ngày31/12/2017VND,numeric__Tại ngày01/01/2017VND
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Tiền thuê đất KCN Biên Hòa 1 - Xem thêmmục 3.12,Ngắn hạn: > Tiền thuê đất KCN Biên Hòa 1 - Xem thêmmục 3.12,Tiền thuê đất KCN Biên Hòa 1 - Xem thêmmục 3.12,25.389.111.706,467.990.133,25389111706.0,467990133.0
Công cụ dụng cụ,Ngắn hạn: > Công cụ dụng cụ,Công cụ dụng cụ,-,55.477.369,,55477369.0
Các khoản khác,Ngắn hạn: > Các khoản khác,Các khoản khác,21.040.578,-,21040578.0,
Cộng,Ngắn hạn: > Cộng,Cộng,25.410.152.284,523.467.502,25410152284.0,523467502.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Công cụ dụng cụ,Dài hạn: > Công cụ dụng cụ,Công cụ dụng cụ,166.031.161,2.032.604.511,166031161.0,2032604511.0
Chi phí đầu tư mặt bằng công nghiệp có hạ tầngkỹ thuật Khu công nghiệp Châu Đức,Dài hạn: > Chi phí đầu tư mặt bằng công nghiệp có hạ tầngkỹ thuật Khu công nghiệp Châu Đức,Chi phí đầu tư mặt bằng công nghiệp có hạ tầngkỹ thuật Khu công nghiệp Châu Đức,262.505.221.477,268.947.067.403,262505221477.0,268947067403.0
Lợi thế kinh doanh,Dài hạn: > Lợi thế kinh doanh,Lợi thế kinh doanh,2.032.615.191,4.065.230.381,2032615191.0,4065230381.0
Tiền thuê đất trả một lần cho diện tích đất1.532.343 m2 tại Khu công nghiệp Giang Điền,Dài hạn: > Tiền thuê đất trả một lần cho diện tích đất1.532.343 m2 tại Khu công nghiệp Giang Điền,Tiền thuê đất trả một lần cho diện tích đất1.532.343 m2 tại Khu công nghiệp Giang Điền,-,141.768.203.785,,141768203785.0
Chi phí khác,Dài hạn: > Chi phí khác,Chi phí khác,892.370.357,11.397.258.977,892370357.0,11397258977.0
Cộng,Dài hạn: > Cộng,Cộng,265.596.238.186,428.210.365.057,265596238186.0,428210365057.0
