row_label_raw,row_label_full,col_0,Từ ngày 01/02/2016đên 31/12/2016VND(Được báo cáo lại),Từ ngày 01/02/2016đên 31/12/2016VND(Đã được báo cáotrước đây),numeric__Từ ngày 01/02/2016đên 31/12/2016VND(Được báo cáo lại),numeric__Từ ngày 01/02/2016đên 31/12/2016VND(Đã được báo cáotrước đây)
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,199.301.729.969,210.996.695.658,199301729969.0,210996695658.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,61.886.091.874,64.712.480.763,61886091874.0,64712480763.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,968.053.013,-,968053013.0,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,106.193.783.866,98.293.260.079,106193783866.0,98293260079.0
