row_label_raw,row_label_full,col_0,Tại ngày 31/12/2017,Tại ngày 31/12/2017_1,Tại ngày 31/12/2017_2,Tại ngày 01/01/2017,Tại ngày 01/01/2017_1,Tại ngày 01/01/2017_2,numeric__Tại ngày 31/12/2017,numeric__Tại ngày 31/12/2017_1,numeric__Tại ngày 31/12/2017_2,numeric__Tại ngày 01/01/2017,numeric__Tại ngày 01/01/2017_1,numeric__Tại ngày 01/01/2017_2
,,,VND,VND,VND,VND,VND,VND,,,,,,
,,,Giá trị ghi số,Giá trị hợp lý,Dự phòng,Giá trị ghi số,Giá trị hợp lý,Dự phòng,,,,,,
Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,,,,,,
Công ty Cổ phần Cấp nước Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Cấp nước Đồng Nai,Công ty Cổ phần Cấp nước Đồng Nai,657.743.958.900,959.836.500.000,-,657.743.958.900,844.656.120.000,-,657743958900.0,959836500000.0,,657743958900.0,844656120000.0,
Công ty Cổ phần Sonadezi Long Bình,Đầu tư vào công ty con: > Công ty Cổ phần Sonadezi Long Bình,Công ty Cổ phần Sonadezi Long Bình,295.444.200.000,,-,295.444.200.000,,-,295444200000.0,,,295444200000.0,,
Công ty Cổ phần Căng Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Căng Đồng Nai,Công ty Cổ phần Căng Đồng Nai,242.452.980.000,574.959.924.000,-,242.452.980.000,367.772.832.000,-,242452980000.0,574959924000.0,,242452980000.0,367772832000.0,
Công ty Cổ phần Sonadezi Long Thành,Đầu tư vào công ty con: > Công ty Cổ phần Sonadezi Long Thành,Công ty Cổ phần Sonadezi Long Thành,201.688.600.000,377.782.200.000,-,201.688.600.000,346.044.400.000,-,201688600000.0,377782200000.0,,201688600000.0,346044400000.0,
Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Đầu tư vào công ty con: > Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,200.655.000.000,395.136.000.000,-,200.655.000.000,224.116.200.000,-,200655000000.0,395136000000.0,,200655000000.0,224116200000.0,
Công ty Cổ phần Môi trường Sonadezi,Đầu tư vào công ty con: > Công ty Cổ phần Môi trường Sonadezi,Công ty Cổ phần Môi trường Sonadezi,197.027.735.730,147.938.914.200,-,197.027.735.730,192.128.460.000,-,197027735730.0,147938914200.0,,197027735730.0,192128460000.0,
Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,53.838.407.700,72.061.704.000,-,53.838.407.700,42.959.862.000,-,53838407700.0,72061704000.0,,53838407700.0,42959862000.0,
Công ty Cổ phần Kinh doanh nhà Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Kinh doanh nhà Đồng Nai,Công ty Cổ phần Kinh doanh nhà Đồng Nai,45.503.424.000,,-,45.503.424.000,,-,45503424000.0,,,45503424000.0,,
Công ty Cổ phần Khu công nghiệp Định Quán,Đầu tư vào công ty con: > Công ty Cổ phần Khu công nghiệp Định Quán,Công ty Cổ phần Khu công nghiệp Định Quán,13.007.143.500,,4.181.599.702,13.007.143.500,,2.021.250.000,13007143500.0,,4181599702.0,13007143500.0,,2021250000.0
Công ty Cổ phần Công trình Giao thông Đồng Nai,Đầu tư vào công ty con: > Công ty Cổ phần Công trình Giao thông Đồng Nai,Công ty Cổ phần Công trình Giao thông Đồng Nai,-,,-,10.908.900.000,7.588.800.000,-,,,,10908900000.0,7588800000.0,
Công ty Cổ phần Sonadezi Giang Điền,Đầu tư vào công ty con: > Công ty Cổ phần Sonadezi Giang Điền,Công ty Cổ phần Sonadezi Giang Điền,255.000.000.000,,-,-,,-,255000000000.0,,,,,
Cộng,Đầu tư vào công ty con: > Cộng,Cộng,2.162.361.449.830,,4.181.599.702,1.918.270.349.830,,2.021.250.000,2162361449830.0,,4181599702.0,1918270349830.0,,2021250000.0
