row_label_raw,row_label_full,col_0,Tại ngày 31/12/2017VND > Giá trị,Tại ngày 31/12/2017VND > Số có khả năngtrả nợ,Tại ngày 01/01/2017VND > Giá trị,Tại ngày 01/01/2017VND > Số có khả năngtrả nợ,numeric__Tại ngày 31/12/2017VND > Giá trị,numeric__Tại ngày 31/12/2017VND > Số có khả năngtrả nợ,numeric__Tại ngày 01/01/2017VND > Giá trị,numeric__Tại ngày 01/01/2017VND > Số có khả năngtrả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,Phải trả cho người bán:,,,,
Tổng công ty Xây Dương,Phải trả cho người bán: > Tổng công ty Xây Dương,Tổng công ty Xây Dương,32.455.000.000,32.455.000.000,22.329.659.030,22.329.659.030,32455000000.0,32455000000.0,22329659030.0,22329659030.0
Số 1 - Công ty Cổ phần,Số 1 - Công ty Cổ phần,Số 1 - Công ty Cổ phần,Số 1 - Công ty Cổ phần,Số 1 - Công ty Cổ phần,Số 1 - Công ty Cổ phần,Số 1 - Công ty Cổ phần,,,,
Công ty TNHH Tiên Triết,Số 1 - Công ty Cổ phần > Công ty TNHH Tiên Triết,Công ty TNHH Tiên Triết,2.076.431.814,2.076.431.814,797.519.778,797.519.778,2076431814.0,2076431814.0,797519778.0,797519778.0
Công Ty CP Đầu Tư,Số 1 - Công ty Cổ phần > Công Ty CP Đầu Tư,Công Ty CP Đầu Tư,-,-,2.850.394.250,2.850.394.250,,,2850394250.0,2850394250.0
Phát Triều Cường,Phát Triều Cường,Phát Triều Cường,Phát Triều Cường,Phát Triều Cường,Phát Triều Cường,Phát Triều Cường,,,,
Thuận IDICO,Thuận IDICO,Thuận IDICO,Thuận IDICO,Thuận IDICO,Thuận IDICO,Thuận IDICO,,,,
Phải trả cho cácđối tượng khác,Thuận IDICO > Phải trả cho cácđối tượng khác,Phải trả cho cácđối tượng khác,522.309.247,522.309.247,9.440.518.556,9.440.518.556,522309247.0,522309247.0,9440518556.0,9440518556.0
Phải trả cho các bên liênquan - Xem thêm mục 6,Thuận IDICO > Phải trả cho các bên liênquan - Xem thêm mục 6,Phải trả cho các bên liênquan - Xem thêm mục 6,7.229.366.871,7.229.366.871,4.967.230.631,4.967.230.631,7229366871.0,7229366871.0,4967230631.0,4967230631.0
Cộng,Thuận IDICO > Cộng,Cộng,42.283.107.932,42.283.107.932,40.385.322.245,40.385.322.245,42283107932.0,42283107932.0,40385322245.0,40385322245.0
