row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,Các khoản mục thuộc vốn chủ sở hữu_5,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu_5
,,,Vốn góp của chủ sở hữu,Chênh lệch đánh giá lại tài sản,Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ đầu tư và phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,,,,,,
Tại ngày 01/02/2016,Tại ngày 01/02/2016,Tại ngày 01/02/2016,3.011.183.940,680.838.668,132.933.401,-,240.448.430,4.065.404.439,3011183940.0,680838668.0,132933401.0,,240448430.0,4065404439.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,-,106.193.784,106.193.784,,,,,106193784.0,106193784.0
Xác định lại vốn góp tại công ty con,Xác định lại vốn góp tại công ty con,Xác định lại vốn góp tại công ty con,72.864.167,-,(72.864.167),-,-,-,72864167.0,,-72864167.0,,,
Giảm vốn do giảm đầu tư vào công ty con,Giảm vốn do giảm đầu tư vào công ty con,Giảm vốn do giảm đầu tư vào công ty con,(458.554),-,-,-,-,(458.554),-458554.0,,,,,-458554.0
Đánh giá lại các khoản đầu tư,Đánh giá lại các khoản đầu tư,Đánh giá lại các khoản đầu tư,-,-,-,-,(22.013.543),(22.013.543),,,,,-22013543.0,-22013543.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(11.143.627),(11.143.627),,,,,-11143627.0,-11143627.0
Điều chỉnh cổ tức của năm 2015 theo Nghị quyết ĐHCD các Công ty đầu tư,Điều chỉnh cổ tức của năm 2015 theo Nghị quyết ĐHCD các Công ty đầu tư,Điều chỉnh cổ tức của năm 2015 theo Nghị quyết ĐHCD các Công ty đầu tư,-,-,-,-,33.954.615,33.954.615,,,,,33954615.0,33954615.0
Nộp tiền thu từ cổ phần hóa,Nộp tiền thu từ cổ phần hóa,Nộp tiền thu từ cổ phần hóa,-,-,(16.088.751),-,-,(16.088.751),,,-16088751.0,,,-16088751.0
Nộp lợi nhuận về ngân sách Nhà nước,Nộp lợi nhuận về ngân sách Nhà nước,Nộp lợi nhuận về ngân sách Nhà nước,-,-,-,-,(127.469.937),(127.469.937),,,,,-127469937.0,-127469937.0
Nhận bản giao vốn tử công ty con,Nhận bản giao vốn tử công ty con,Nhận bản giao vốn tử công ty con,-,-,6.199.820,-,-,6.199.820,,,6199820.0,,,6199820.0
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,(369.816),-,637.969,-,442.068,710.221,-369816.0,,637969.0,,442068.0,710221.0
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,3.083.219.737,680.838.668,50.818.272,-,220.411.790,4.035.288.467,3083219737.0,680838668.0,50818272.0,,220411790.0,4035288467.0
