row_label_raw,row_label_full,col_0,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,numeric__Từ 01/01/2017đến 31/12/2017VND,numeric__Từ 01/02/2016đến 31/12/2016VND
Giá vốn:,Giá vốn:,Giá vốn:,Giá vốn:,Giá vốn:,,
"Giá vốn kinh doanh đất, hạ tầng","Giá vốn: > Giá vốn kinh doanh đất, hạ tầng","Giá vốn kinh doanh đất, hạ tầng",19.691.761.514,13.560.174.692,19691761514.0,13560174692.0
Khu công nghiệp Biên Hòa 1,Khu công nghiệp Biên Hòa 1,Khu công nghiệp Biên Hòa 1,,,,
"Giá vốn kinh doanh đất, hạ tầng","Khu công nghiệp Biên Hòa 1 > Giá vốn kinh doanh đất, hạ tầng","Giá vốn kinh doanh đất, hạ tầng",22.194.534.412,31.096.354.303,22194534412.0,31096354303.0
Khu công nghiệp Giang Điền,Khu công nghiệp Giang Điền,Khu công nghiệp Giang Điền,,,,
Giá vốn xây dựng cầu Hóa An,Khu công nghiệp Giang Điền > Giá vốn xây dựng cầu Hóa An,Giá vốn xây dựng cầu Hóa An,10.265.869.919,25.725.475.833,10265869919.0,25725475833.0
Giá vốn cho thuê văn phòng,Khu công nghiệp Giang Điền > Giá vốn cho thuê văn phòng,Giá vốn cho thuê văn phòng,15.269.365.820,25.675.480.119,15269365820.0,25675480119.0
Giá vốn kinh doanh hạ tầng Khu công nghiệp Châu Đức,Khu công nghiệp Giang Điền > Giá vốn kinh doanh hạ tầng Khu công nghiệp Châu Đức,Giá vốn kinh doanh hạ tầng Khu công nghiệp Châu Đức,9.886.887.796,2.860.179.591,9886887796.0,2860179591.0
Giá vốn cho thuê nhà xuống,Khu công nghiệp Giang Điền > Giá vốn cho thuê nhà xuống,Giá vốn cho thuê nhà xuống,3.765.405.464,5.739.116.137,3765405464.0,5739116137.0
Giá vốn kinh doanh nước sạch,Khu công nghiệp Giang Điền > Giá vốn kinh doanh nước sạch,Giá vốn kinh doanh nước sạch,1.445.773.739,2.053.475.488,1445773739.0,2053475488.0
Giá vốn kinh doanh nhà hàng khách sạn,Khu công nghiệp Giang Điền > Giá vốn kinh doanh nhà hàng khách sạn,Giá vốn kinh doanh nhà hàng khách sạn,779.287.634,1.546.462.054,779287634.0,1546462054.0
Giá vốn chuyển nhượng xuống,Khu công nghiệp Giang Điền > Giá vốn chuyển nhượng xuống,Giá vốn chuyển nhượng xuống,-,20.852.284.124,,20852284124.0
"Giá vốn kinh doanh nhà, cho thuê nhà","Khu công nghiệp Giang Điền > Giá vốn kinh doanh nhà, cho thuê nhà","Giá vốn kinh doanh nhà, cho thuê nhà",21.744.735,14.041.985.926,21744735.0,14041985926.0
Giá vốn khác,Khu công nghiệp Giang Điền > Giá vốn khác,Giá vốn khác,172.091.855,974.914.108,172091855.0,974914108.0
Cộng,Khu công nghiệp Giang Điền > Cộng,Cộng,83.492.722.888,144.125.902.375,83492722888.0,144125902375.0
Giá vốn cho thuê tài sản ghi nhận theo tổng số tiền nhận trước trong năm,Khu công nghiệp Giang Điền > Giá vốn cho thuê tài sản ghi nhận theo tổng số tiền nhận trước trong năm,Giá vốn cho thuê tài sản ghi nhận theo tổng số tiền nhận trước trong năm,-,55.175.827.594,,55175827594.0
Tổng cộng,Khu công nghiệp Giang Điền > Tổng cộng,Tổng cộng,83.492.722.888,199.301.729.969,83492722888.0,199301729969.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,
,,,Từ 01/01/2017đến 31/12/2017VND,Từ 01/02/2016đến 31/12/2016VND,,
