row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021,Ngày 31 tháng 12năm 2021_1,Ngày 31 tháng 12năm 2020,Ngày 31 tháng 12năm 2020_1,numeric__Ngày 31 tháng 12năm 2021,numeric__Ngày 31 tháng 12năm 2021_1,numeric__Ngày 31 tháng 12năm 2020,numeric__Ngày 31 tháng 12năm 2020_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
"Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô,mô tô, xe máy và xe có động cơ khác",39.150.456,"34,14",30.011.640,"29,78",39150456.0,34.14,30011640.0,29.78
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,28.695.485,"25,02",26.818.307,"26,61",28695485.0,25.02,26818307.0,26.61
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",16.622.315,"14,50",14.140.190,"14,03",16622315.0,14.5,14140190.0,14.03
Xây dựng,Xây dựng,Xây dựng,6.147.052,"5,36",5.855.697,"5,81",6147052.0,5.36,5855697.0,5.81
Hoạt động làm thuê các công việctrong các hộ gia đình. Sản xuất sảnphẩm vật chất và dịch vụ tư tiêu dùngcủa hộ gia đình,Hoạt động làm thuê các công việctrong các hộ gia đình. Sản xuất sảnphẩm vật chất và dịch vụ tư tiêu dùngcủa hộ gia đình,Hoạt động làm thuê các công việctrong các hộ gia đình. Sản xuất sảnphẩm vật chất và dịch vụ tư tiêu dùngcủa hộ gia đình,4.918.686,"4,29",5.885.772,"5,84",4918686.0,4.29,5885772.0,5.84
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",3.936.161,"3,43",3.472.549,"3,46",3936161.0,3.43,3472549.0,3.46
"Sản xuất và phân phối điện, khí đốt,nước nóng, hơi nước và điều hòakhông khí","Sản xuất và phân phối điện, khí đốt,nước nóng, hơi nước và điều hòakhông khí","Sản xuất và phân phối điện, khí đốt,nước nóng, hơi nước và điều hòakhông khí",2.652.756,"2,31",3.327.162,"3,30",2652756.0,2.31,3327162.0,3.3
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,2.534.309,"2,21",2.648.046,"2,63",2534309.0,2.21,2648046.0,2.63
"Hoạt động tài chính, ngân hàng vàbảo hiểm","Hoạt động tài chính, ngân hàng vàbảo hiểm","Hoạt động tài chính, ngân hàng vàbảo hiểm",1.675.324,"1,46",1.234.344,"1,22",1675324.0,1.46,1234344.0,1.22
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,1.301.447,"1,13",1.751.728,"1,74",1301447.0,1.13,1751728.0,1.74
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,1.105.090,"0,96",474.125,"0,47",1105090.0,0.96,474125.0,0.47
Khai khoáng,Khai khoáng,Khai khoáng,641.611,"0,56",342.381,"0,34",641611.0,0.56,342381.0,0.34
"Cung cấp nước; hoạt động quản lý vàxử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý vàxử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý vàxử lý rác thải, nước thải",269.122,"0,23",296.496,"0,29",269122.0,0.23,296496.0,0.29
"Hoạt động chuyên môn, khoa học vàcông nghệ","Hoạt động chuyên môn, khoa học vàcông nghệ","Hoạt động chuyên môn, khoa học vàcông nghệ",231.506,"0,21",247.243,"0,25",231506.0,0.21,247243.0,0.25
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,183.749,"0,16",215.209,"0,21",183749.0,0.16,215209.0,0.21
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,63.036,"0,05",224.430,"0,22",63036.0,0.05,224430.0,0.22
Hoạt động hành chính và dịch vụ hỗtroy,Hoạt động hành chính và dịch vụ hỗtroy,Hoạt động hành chính và dịch vụ hỗtroy,99.026,"0,09",113.680,"0,11",99026.0,0.09,113680.0,0.11
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",57.151,"0,06",48.632,"0,06",57151.0,0.06,48632.0,0.06
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,4.390.348,"3,83",3.659.775,"3,63",4390348.0,3.83,3659775.0,3.63
,,,114.674.630,"100,00",100.767.406,"100,00",114674630.0,100.0,100767406.0,100.0
