row_label_raw,row_label_full,Họ và tên > Ông Trần Tấn Lộc > Ông Nguyễn Cảnh Vinh > Ông Đào Hồng ChâuBà Đình Thị Thu ThảoBà Văn Thái Bảo Nhi,Chức vụ > Phó Tổng Giám đốc(Đến ngày 8 tháng 9 năm 2021)Tổng Giám đốc(Từ ngày 8 tháng 9 năm 2021) > Quyền Tổng Giám đốc(Đến ngày 8 tháng 9 năm 2021) > Phó Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốc(Đến ngày 9 tháng 4 năm 2021),Năm nayTriệu đồng > 3.380 > 4.654 > 2.7092.713,Năm trướcTriệu đồng > 2.656 > 4.852 > 2.7132.743,numeric__Chức vụ > Phó Tổng Giám đốc(Đến ngày 8 tháng 9 năm 2021)Tổng Giám đốc(Từ ngày 8 tháng 9 năm 2021) > Quyền Tổng Giám đốc(Đến ngày 8 tháng 9 năm 2021) > Phó Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốc(Đến ngày 9 tháng 4 năm 2021),numeric__Năm nayTriệu đồng > 3.380 > 4.654 > 2.7092.713,numeric__Năm trướcTriệu đồng > 2.656 > 4.852 > 2.7132.743
Ông Nguyễn Hồ Hoàng Vũ,Ông Nguyễn Hồ Hoàng Vũ,Ông Nguyễn Hồ Hoàng Vũ,Phó Tổng Giám đốc kiểmGiám đốc Tài chính,1.195,2.626,,1195.0,2626.0
Ông Nguyễn Hướng MinhÔng Lã Quang Trung,Ông Nguyễn Hướng MinhÔng Lã Quang Trung,Ông Nguyễn Hướng MinhÔng Lã Quang Trung,Phó Tổng Giám đốcKế toán Trường,2.5843.2901.024,2.5303.108466,,258432901024.0,25303108466.0
Tổng cộng (*),Tổng cộng (*),Tổng cộng (*),,21.549,21.694,,21549.0,21694.0
