row_label_raw,row_label_full,col_0,Bàng cản đối kế toán,Bàng cản đối kế toán_1,Ảnh hưởng đối với báo cáo kết quả hoạt động kinh doanh,Ảnh hưởng đối với báo cáo kết quả hoạt động kinh doanh_1,numeric__Bàng cản đối kế toán,numeric__Bàng cản đối kế toán_1,numeric__Ảnh hưởng đối với báo cáo kết quả hoạt động kinh doanh,numeric__Ảnh hưởng đối với báo cáo kết quả hoạt động kinh doanh_1
,,,Số cuối năm triệu đồng,Số đầu năm triệu đồng,Năm nay triệu đồng,Năm trước triệu đồng,,,,
Tải sản thuế TNDN hoãn lại,Tải sản thuế TNDN hoãn lại,Tải sản thuế TNDN hoãn lại,Tải sản thuế TNDN hoãn lại,Tải sản thuế TNDN hoãn lại,Tải sản thuế TNDN hoãn lại,Tải sản thuế TNDN hoãn lại,,,,
Chênh lệch trong Phương pháp trích lập dự phòng chứng khoán đầu tư,Tải sản thuế TNDN hoãn lại > Chênh lệch trong Phương pháp trích lập dự phòng chứng khoán đầu tư,Chênh lệch trong Phương pháp trích lập dự phòng chứng khoán đầu tư,9.545,45.501,,,9545.0,45501.0,,
(Chi phí)/thu nhập thuế thu nhập hoãn lại thuần tỉnh vào báo cáo kết quả hoạt động kinh doanh,Tải sản thuế TNDN hoãn lại > (Chi phí)/thu nhập thuế thu nhập hoãn lại thuần tỉnh vào báo cáo kết quả hoạt động kinh doanh,(Chi phí)/thu nhập thuế thu nhập hoãn lại thuần tỉnh vào báo cáo kết quả hoạt động kinh doanh,,,(35.956),45.501,,,-35956.0,45501.0
