row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021Triệu đồng,Ngày 31 tháng 12năm 2020Triệu đồng,numeric__Ngày 31 tháng 12năm 2021Triệu đồng,numeric__Ngày 31 tháng 12năm 2020Triệu đồng
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,105.101,69.363,105101.0,69363.0
Các khoản phải trả công nhân viên,Các khoản phải trả công nhân viên,Các khoản phải trả công nhân viên,89.810,43.999,89810.0,43999.0
Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),Quỹ khen thưởng và phúc lợi (i),14.706,24.770,14706.0,24770.0
Các khoản phải trả nội bộ khác,Các khoản phải trả nội bộ khác,Các khoản phải trả nội bộ khác,585,594,585.0,594.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,733.669,983.717,733669.0,983717.0
Các khoản phải trả liên quan đến dịch vụ thanh toán thể,Các khoản phải trả liên quan đến dịch vụ thanh toán thể,Các khoản phải trả liên quan đến dịch vụ thanh toán thể,151.043,291.846,151043.0,291846.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,204.295,186.994,204295.0,186994.0
Các khoản phải trả liên quan đến nghiệp vụ L/C,Các khoản phải trả liên quan đến nghiệp vụ L/C,Các khoản phải trả liên quan đến nghiệp vụ L/C,173.580,176.057,173580.0,176057.0
Phải trả Công ty con (ii),Phải trả Công ty con (ii),Phải trả Công ty con (ii),116.612,116.612,116612.0,116612.0
Các khoản thuê phải nộp Nhà nước,Các khoản thuê phải nộp Nhà nước,Các khoản thuê phải nộp Nhà nước,19.278,112.693,19278.0,112693.0
Phải trả liên quan đến hỗ trợ cho vay lãi suất,Phải trả liên quan đến hỗ trợ cho vay lãi suất,Phải trả liên quan đến hỗ trợ cho vay lãi suất,29.826,29.826,29826.0,29826.0
Phải trả liên quan đến Hệ thống Ngân hàng lôi,Phải trả liên quan đến Hệ thống Ngân hàng lôi,Phải trả liên quan đến Hệ thống Ngân hàng lôi,11.805,23.768,11805.0,23768.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,2.455,2.455,2455.0,2455.0
Phải trả khác,Phải trả khác,Phải trả khác,24.775,43.466,24775.0,43466.0
,,,838.770,1.053.080,838770.0,1053080.0
