row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1thăngTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.936.330,-,-,-,-,-,-,1.936.330,,1936330.0,,,,,,,1936330.0
Tiền gửi tại NHNN Việt Nam,Tải sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,3.392.981,-,-,-,-,-,3.392.981,,,3392981.0,,,,,,3392981.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,25.206.015,-,-,-,-,-,25.206.015,,,25206015.0,,,,,,25206015.0
Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và cáctài sản tài chính khác,Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,4.262,-,-,-,-,-,-,4.262,,4262.0,,,,,,,4262.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,3.252.596,-,26.454.858,35.036.971,29.539.264,10.835.442,2.079.871,7.475.628,114.674.630,3252596.0,,26454858.0,35036971.0,29539264.0,10835442.0,2079871.0,7475628.0,114674630.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,212.868,251.467,1.288.932,900.778,1.701.144,4.109.603,7.541.836,16.006.628,,212868.0,251467.0,1288932.0,900778.0,1701144.0,4109603.0,7541836.0,16006628.0
"Gộp vốn, đầu tư dài hạn - gộp","Tải sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,300.000,-,-,-,-,-,-,300.000,,300000.0,,,,,,,300000.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,3.333.636,-,-,-,-,-,-,3.333.636,,3333636.0,,,,,,,3333636.0
Tải sản Có khác - gộp,Tải sản > Tải sản Có khác - gộp,Tải sản Có khác - gộp,429.813,2.708.754,,,,,,,3.138.567,429813.0,2708754.0,,,,,,,3138567.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,3.682.409,8.495.850,55.305.321,36.325.903,30.440.042,12.536.586,6.189.474,15.017.464,167.993.049,3682409.0,8495850.0,55305321.0,36325903.0,30440042.0,12536586.0,6189474.0,15017464.0,167993049.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,11.369,17.815,-,-,-,29.184,,,,11369.0,17815.0,,,,29184.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,7.615.859,-,-,-,-,-,7.615.859,,,7615859.0,,,,,,7615859.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,50.986.750,30.937.084,30.676.800,19.975.650,4.965.161,210,137.541.655,,,50986750.0,30937084.0,30676800.0,19975650.0,4965161.0,210.0,137541655.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.140.256,-,-,-,-,-,-,3.140.256,,3140256.0,,,,,,,3140256.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,3.140.256,58.602.609,30.948.453,30.694.615,19.975.650,4.965.161,210,148.326.954,,3140256.0,58602609.0,30948453.0,30694615.0,19975650.0,4965161.0,210.0,148326954.0
Mức chênh nhạy cảm với lãi suấtnội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bằng,Mức chênh nhạy cảm với lãi suấtnội bằng,3.682.409,5.355.594,(3.297.288),5.377.450,(254.573),(7.439.064),1.224.313,15.017.254,19.666.095,3682409.0,5355594.0,-3297288.0,5377450.0,-254573.0,-7439064.0,1224313.0,15017254.0,19666095.0
