row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,945.805,975.859,945805.0,975859.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,818.378,836.961,818378.0,836961.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,39.981,37.055,39981.0,37055.0
Thu từ dịch vụ ủy thác và đai lý,Thu từ dịch vụ ủy thác và đai lý,Thu từ dịch vụ ủy thác và đai lý,12.467,19.039,12467.0,19039.0
Thu từ dịch vụ bảo quản tài sản,Thu từ dịch vụ bảo quản tài sản,Thu từ dịch vụ bảo quản tài sản,444,4.220,444.0,4220.0
Thu khác,Thu khác,Thu khác,74.535,78.584,74535.0,78584.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(519.748),(516.085),-519748.0,-516085.0
Chi dịch vụ thanh toán,Chi dịch vụ thanh toán,Chi dịch vụ thanh toán,(409.162),(416.498),-409162.0,-416498.0
"Cước phí bưu điện, mạng viễn thông","Cước phí bưu điện, mạng viễn thông","Cước phí bưu điện, mạng viễn thông",(65.837),(60.080),-65837.0,-60080.0
Chi dịch vụ ngân quỹ,Chi dịch vụ ngân quỹ,Chi dịch vụ ngân quỹ,(39.885),(32.083),-39885.0,-32083.0
Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,(4.818),(4.307),-4818.0,-4307.0
Chi khác,Chi khác,Chi khác,(46),(3.117),-46.0,-3117.0
,,,426.057,459.774,426057.0,459774.0
