row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2021Triệu đồng,Ngày 31 tháng 12năm 2020Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2021Triệu đồng,numeric__Ngày 31 tháng 12năm 2020Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Ngân hàng Nhà nước Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Ngân hàng Nhà nước Việt Nam,Các khoản nợ Ngân hàng Nhà nước Việt Nam,15,29.184,33.805,15.0,29184.0,33805.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,7.615.859,6.320.362,,7615859.0,6320362.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,16.1,7.615.859,5.627.362,161.0,7615859.0,5627362.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,16.2,-,693.000,162.0,,693000.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,17,137.541.655,134.149.452,17.0,137541655.0,134149452.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,3.140.256,3.456.426,,3140256.0,3456426.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",18.1,2.301.486,2.403.346,181.0,2301486.0,2403346.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,18.2,838.770,1.053.080,182.0,838770.0,1053080.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,148.326.954,143.960.045,,148326954.0,143960045.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,Vốn,Vốn,,,,,,
Vốn điều lệ,Vốn > Vốn điều lệ,Vốn điều lệ,,12.355.229,12.355.229,,12355229.0,12355229.0
Vốn đầu tư xây dựng cơ bản,Vốn đầu tư xây dựng cơ bản,Vốn đầu tư xây dựng cơ bản,,,,,,
và mua sắm tài sản cố định,Vốn đầu tư xây dựng cơ bản > và mua sắm tài sản cố định,và mua sắm tài sản cố định,,15.396,15.396,,15396.0,15396.0
Thặng dư vốn cố phần,Vốn đầu tư xây dựng cơ bản > Thặng dư vốn cố phần,Thặng dư vốn cố phần,,156.322,156.322,,156322.0,156322.0
Cổ phiếu quỹ,Vốn đầu tư xây dựng cơ bản > Cổ phiếu quỹ,Cổ phiếu quỹ,,(78.273),(78.273),,-78273.0,-78273.0
Các quỹ dự trữ,Vốn đầu tư xây dựng cơ bản > Các quỹ dự trữ,Các quỹ dự trữ,,2.115.200,1.962.057,,2115200.0,1962057.0
Lợi nhuận chưa phân phối,Vốn đầu tư xây dựng cơ bản > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,3.186.808,2.318.887,,3186808.0,2318887.0
TỔNG VỐN CHỦ SỞ HỮU,Vốn đầu tư xây dựng cơ bản > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,20.1,17.750.682,16.729.618,201.0,17750682.0,16729618.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Vốn đầu tư xây dựng cơ bản > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,166.077.636,160.689.663,,166077636.0,160689663.0
