row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị,dung cu quản lýTriệu đồng",KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị,dung cu quản lýTriệu đồng",numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,,,
Ngày 31 tháng 12 năm 2020,Nguyên giả > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,500.914,798.573,238.191,47.311,508.335,2.093.324,500914.0,798573.0,238191.0,47311.0,508335.0,2093324.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,31.211,85.151,-,2.145,20.752,139.259,31211.0,85151.0,,2145.0,20752.0,139259.0
"Thanh lý, nhượng bán","Nguyên giả > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(42.297),(31.659),(4.029),(60.833),(138.818),,-42297.0,-31659.0,-4029.0,-60833.0,-138818.0
Điều chuyển nội bộ,Nguyên giả > Điều chuyển nội bộ,Điều chuyển nội bộ,-,(217),-,-,217,-,,-217.0,,,217.0,
Ngày 31 tháng 12 năm 2021,Nguyên giả > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,532.125,841.210,206.532,45.427,468.471,2.093.765,532125.0,841210.0,206532.0,45427.0,468471.0,2093765.0
Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,,,,,,
Ngày 31 tháng 12 năm 2020,Giá trị hao mòn luỷ kế > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,89.465,599.134,194.283,43.338,416.509,1.342.729,89465.0,599134.0,194283.0,43338.0,416509.0,1342729.0
Khẩu hao trong năm,Giá trị hao mòn luỷ kế > Khẩu hao trong năm,Khẩu hao trong năm,12.879,44.622,9.626,2.430,34.545,104.102,12879.0,44622.0,9626.0,2430.0,34545.0,104102.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỷ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(42.258),(25.064),(4.029),(59.727),(131.078),,-42258.0,-25064.0,-4029.0,-59727.0,-131078.0
Điều chuyển nội bộ,Giá trị hao mòn luỷ kế > Điều chuyển nội bộ,Điều chuyển nội bộ,-,(217),-,-,217,-,,-217.0,,,217.0,
Ngày 31 tháng 12 năm 2021,Giá trị hao mòn luỷ kế > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,102.344,601.281,178.845,41.739,391.544,1.315.753,102344.0,601281.0,178845.0,41739.0,391544.0,1315753.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Ngày 31 tháng 12 năm 2020,Giá trị còn lại > Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020,411.449,199.439,43.908,3.973,91.826,750.595,411449.0,199439.0,43908.0,3973.0,91826.0,750595.0
Ngày 31 tháng 12 năm 2021,Giá trị còn lại > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,429.781,239.929,27.687,3.688,76.927,778.012,429781.0,239929.0,27687.0,3688.0,76927.0,778012.0
