row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phandida báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phandida báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,3.032.623(2.449.042),1.875.655(1.481.880),20.548.810(18.009.752),25.457.088(21.940.674),(15.372.597)15.372.597,10.084.491(6.568.077),,,,,,
Chỉ phí lãi và các chi phí tương tự,Chỉ phí lãi và các chi phí tương tự,Chỉ phí lãi và các chi phí tương tự,3.032.623(2.449.042),1.875.655(1.481.880),20.548.810(18.009.752),25.457.088(21.940.674),(15.372.597)15.372.597,10.084.491(6.568.077),,,,,,
Thu nhập lãi thuần,Chỉ phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,583.581,393.775,2.539.058,3.516.414,-,3.516.414,583581.0,393775.0,2539058.0,3516414.0,,3516414.0
Các khoản thu nhập ngoài lãi,Chỉ phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,94.013,31.241,1.097.374,1.222.628,-,1.222.628,94013.0,31241.0,1097374.0,1222628.0,,1222628.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chỉ phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,677.594,425.016,3.636.432,4.739.042,-,4.739.042,677594.0,425016.0,3636432.0,4739042.0,,4739042.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chỉ phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(294.063),(207.015),(1.987.791),(2.488.869),-,(2.488.869),-294063.0,-207015.0,-1987791.0,-2488869.0,,-2488869.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Chỉ phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,383.531,218.001,1.648.641,2.250.173,-,2.250.173,383531.0,218001.0,1648641.0,2250173.0,,2250173.0
Chi phí dự phòng rủi ro tín dụng,Chỉ phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(342.742),(259.779),(387.603),(990.124),-,(990.124),-342742.0,-259779.0,-387603.0,-990124.0,,-990124.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chỉ phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,40.789,(41.778),1.261.038,1.260.049,-,1.260.049,40789.0,-41778.0,1261038.0,1260049.0,,1260049.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,,,
