row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Kinh doanhTriệu đồng,Giá trị ghi sổ > Giữ đếngày đáo hạnTriệu đồng,Giá trị ghi sổ > Cho vay vàphải thuTriệu đồng,Giá trị ghi sổ > Sẵn sàngđể bánTriệu đồng,Giá trị ghi sổ > Tài sản khácvà nợ tài chínhhạch toán theogiá trị phân bổTriệu đồng,Giá trị ghi sổ > Tổng cộnggiá trị ghi sổTriệu đồng,Giá trị ghi sổ > Giá trị hợp lýTriệu đồng,numeric__Giá trị ghi sổ > Kinh doanhTriệu đồng,numeric__Giá trị ghi sổ > Giữ đếngày đáo hạnTriệu đồng,numeric__Giá trị ghi sổ > Cho vay vàphải thuTriệu đồng,numeric__Giá trị ghi sổ > Sẵn sàngđể bánTriệu đồng,numeric__Giá trị ghi sổ > Tài sản khácvà nợ tài chínhhạch toán theogiá trị phân bổTriệu đồng,numeric__Giá trị ghi sổ > Tổng cộnggiá trị ghi sổTriệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lýTriệu đồng
Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,,,,,,,,,,,,,,
Tiền mặt và vàng,Tải sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,-,-,-,-,1.936.330,1.936.330,1.936.330,,,,,1936330.0,1936330.0,1936330.0
Tiền gửi tại NHNN Việt Nam,Tải sản tài chính > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,-,-,3.392.981,3.392.981,3.392.981,,,,,3392981.0,3392981.0,3392981.0
Tiền gửi tại và cho vay các TCTD khác,Tải sản tài chính > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,-,-,25.206.015,25.206.015,(*),,,,,25206015.0,25206015.0,
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản tài chính > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,4.262,-,-,-,-,4.262,(*),4262.0,,,,,4262.0,
Cho vay khách hàng,Tải sản tài chính > Cho vay khách hàng,Cho vay khách hàng,-,-,113.308.080,-,-,113.308.080,(*),,,113308080.0,,,113308080.0,
Chứng khoán đầu tư,Tải sản tài chính > Chứng khoán đầu tư,Chứng khoán đầu tư,-,8.652.217,-,7.228.361,-,15.880.578,(*),,8652217.0,,7228361.0,,15880578.0,
"Góp vốn, đầu tư dài hạn","Tải sản tài chính > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,300.000,-,300.000,(*),,,,300000.0,,300000.0,
Tải sản tài chính khác,Tải sản tài chính > Tải sản tài chính khác,Tải sản tài chính khác,-,-,1.540.092,-,-,1.540.092,(*),,,1540092.0,,,1540092.0,
,,,4.262,8.652.217,114.848.172,7.528.361,30.535.326,161.568.338,,4262.0,8652217.0,114848172.0,7528361.0,30535326.0,161568338.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả tài chính > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,-,29.184,29.184,(*),,,,,29184.0,29184.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,7.615.859,7.615.859,(*),,,,,7615859.0,7615859.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,137.541.655,137.541.655,(*),,,,,137541655.0,137541655.0,
Các khoản nợ tài chính khác,Nợ phải trả tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,2.991.102,2.991.102,(*),,,,,2991102.0,2991102.0,
,,,-,-,-,-,148.177.800,148.177.800,,,,,,148177800.0,148177800.0,
