row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2021Triệu đồng,Ngày 31 tháng 12năm 2020Triệu đồng,numeric__Ngày 31 tháng 12năm 2021Triệu đồng,numeric__Ngày 31 tháng 12năm 2020Triệu đồng
"Tiền gửi không kỳ hạn (""KKH"")","Tiền gửi không kỳ hạn (""KKH"")","Tiền gửi không kỳ hạn (""KKH"")",20.529.800,18.612.327,20529800.0,18612327.0
Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,Tiền gửi KKH bằng VND,16.886.601,15.202.255,16886601.0,15202255.0
Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,Tiền gửi KKH bằng ngoại tệ,3.394.503,3.137.098,3394503.0,3137098.0
Tiền gửi tiết kiểm không kỳ hạn bằng VND,Tiền gửi tiết kiểm không kỳ hạn bằng VND,Tiền gửi tiết kiểm không kỳ hạn bằng VND,4.829,8.586,4829.0,8586.0
Tiền gửi tiết kiểm không kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiểm không kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiểm không kỳ hạn bằng ngoại tệ,243.867,264.388,243867.0,264388.0
"Tiền gửi có kỳ hạn (""CKH"")","Tiền gửi có kỳ hạn (""CKH"")","Tiền gửi có kỳ hạn (""CKH"")",115.842.071,113.851.480,115842071.0,113851480.0
Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,Tiền gửi CKH bằng VND,40.056.358,36.313.643,40056358.0,36313643.0
Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,Tiền gửi CKH bằng ngoại tệ,320.990,376.452,320990.0,376452.0
Tiền gửi tiết kiểm có kỳ hạn bằng VND,Tiền gửi tiết kiểm có kỳ hạn bằng VND,Tiền gửi tiết kiểm có kỳ hạn bằng VND,73.185.194,75.105.082,73185194.0,75105082.0
Tiền gửi tiết kiểm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiểm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiểm có kỳ hạn bằng ngoại tệ,2.279.529,2.056.303,2279529.0,2056303.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,540.906,1.124.389,540906.0,1124389.0
Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,513.946,1.053.860,513946.0,1053860.0
Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,26.960,70.529,26960.0,70529.0
Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,628.878,561.256,628878.0,561256.0
Tiền gửi kỳ quỹ bằng VND,Tiền gửi kỳ quỹ bằng VND,Tiền gửi kỳ quỹ bằng VND,602.809,548.714,602809.0,548714.0
Tiền gửi kỳ quỹ bằng ngoại tệ,Tiền gửi kỳ quỹ bằng ngoại tệ,Tiền gửi kỳ quỹ bằng ngoại tệ,26.069,12.542,26069.0,12542.0
,,,137.541.655,134.149.452,137541655.0,134149452.0
