row_label_raw,row_label_full,Năm trước > Vào ngày 1 tháng 1 năm 2014 (Trình bày lại) > - Lợi nhuận trong năm,Vốn góp > Năm trước > 627.419.230.000 > -,Thặng dư vốn cổ phần > Năm trước > 418.432.992.221 > -,Quỹ đầu tư phát triển > Năm trước > 486.850.936.663 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 189.955.359.398 > 205.773.104.121,Đơn vị tính: VND Tổng cộng > Năm trước > 1.722.658.518.282 > 205.773.104.121,numeric__Vốn góp > Năm trước > 627.419.230.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước > 418.432.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 486.850.936.663 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 189.955.359.398 > 205.773.104.121,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 1.722.658.518.282 > 205.773.104.121
- Phân bổ vào các quỹ,- Phân bổ vào các quỹ,- Phân bổ vào các quỹ,-,-,92.979.874.919,(92.979.874.919),-,,,92979874919.0,-92979874919.0,
"- Phân bổ quỹ khen thưởng, phúc lợi","- Phân bổ quỹ khen thưởng, phúc lợi","- Phân bổ quỹ khen thưởng, phúc lợi",-,-,-,(10.331.097.213),(10.331.097.213),,,,-10331097213.0,-10331097213.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,(86.835.229.142),(86.835.229.142),,,,-86835229142.0,-86835229142.0
- Tăng/(giảm) khác,- Tăng/(giảm) khác,- Tăng/(giảm) khác,-,-,(1.194.304.936),190.841.876,(1.003.463.060),,,-1194304936.0,190841876.0,-1003463060.0
Vào ngày 31 tháng 12 năm 2014 (Trình bày lại),Vào ngày 31 tháng 12 năm 2014 (Trình bày lại),Vào ngày 31 tháng 12 năm 2014 (Trình bày lại),627.419.230.000,418.432.992.221,578.636.506.646,205.773.104.121,1.830.261.832.988,627419230000.0,418432992221.0,578636506646.0,205773104121.0,1830261832988.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Vào ngày 1 tháng 1 năm 2015 (Trình bày lại),Năm nay > Vào ngày 1 tháng 1 năm 2015 (Trình bày lại),Vào ngày 1 tháng 1 năm 2015 (Trình bày lại),627.419.230.000,418.432.992.221,578.636.506.646,205.773.104.121,1.830.261.832.988,627419230000.0,418432992221.0,578636506646.0,205773104121.0,1830261832988.0
- Lợi nhuận trong năm,Năm nay > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,252.835.571.205,252.835.571.205,,,,252835571205.0,252835571205.0
- Phân bổ vào các quỹ (*),Năm nay > - Phân bổ vào các quỹ (*),- Phân bổ vào các quỹ (*),-,-,100.494.197.659,(100.494.197.659),-,,,100494197659.0,-100494197659.0,
"- Phân bổ quỹ khen thưởng, phúc lợi (*)","Năm nay > - Phân bổ quỹ khen thưởng, phúc lợi (*)","- Phân bổ quỹ khen thưởng, phúc lợi (*)",-,-,-,(11.166.021.962),(11.166.021.962),,,,-11166021962.0,-11166021962.0
- Chia cổ tức (*),Năm nay > - Chia cổ tức (*),- Chia cổ tức (*),-,-,-,(125.483.846.000),(125.483.846.000),,,,-125483846000.0,-125483846000.0
Vào ngày 31 tháng 12 năm 2015,Năm nay > Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,627.419.230.000,418.432.992.221,679.130.704.305,221.464.609.705,1.946.447.536.231,627419230000.0,418432992221.0,679130704305.0,221464609705.0,1946447536231.0
