row_label_raw,row_label_full,col_0,Don vi tính: VND > Năm nay,Don vi tính: VND > Năm trước,numeric__Don vi tính: VND > Năm nay,numeric__Don vi tính: VND > Năm trước
Lương và thường,Lương và thường,Lương và thường,6.766.915.000,5.928.254.000,6766915000.0,5928254000.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,6.766.915.000,5.928.254.000,6766915000.0,5928254000.0
