row_label_raw,row_label_full,Ông Nguyễn Khắc Thảo > Ông Nguyễn Như So > Ông Nguyễn Văn Quân,Tổng Giám đốc > Phó Tổng Giám đốc,Bổ nhiệm ngày 18 tháng 5 năm 2015 > Miễn nhiệm ngày 18 tháng 5 năm 2015 > Miễn nhiệm ngày 15 tháng 7 năm 2015,numeric__Tổng Giám đốc > Phó Tổng Giám đốc,numeric__Bổ nhiệm ngày 18 tháng 5 năm 2015 > Miễn nhiệm ngày 18 tháng 5 năm 2015 > Miễn nhiệm ngày 15 tháng 7 năm 2015
Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Ông Nguyễn Văn Tuấn,Phó Tổng Giám đốc,,,
Ông Nguyễn Văn Mạnh,Ông Nguyễn Văn Mạnh,Ông Nguyễn Văn Mạnh,Phó Tổng Giám đốc,,,
Ông Nguyễn Trọng Kích,Ông Nguyễn Trọng Kích,Ông Nguyễn Trọng Kích,Phó Tổng Giám đốc,,,
Ông Pham Văn Học,Ông Pham Văn Học,Ông Pham Văn Học,Phó Tổng Giám đốc,,,
Ông Nguyễn Thế Tường,Ông Nguyễn Thế Tường,Ông Nguyễn Thế Tường,Phó Tổng Giám đốc,Bổ nhiệm ngày 18 tháng 5 năm 2015,,
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Phó Tổng Giám đốc kiểm Kế toán trường,Bổ nhiệm ngày 18 tháng 5 năm 2015,,
Ông Nguyễn Khắc Thảo,Ông Nguyễn Khắc Thảo,Ông Nguyễn Khắc Thảo,Phó Tổng Giám đốc,Miễn nhiệm ngày 18 tháng 5 năm 2015,,
