row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Ngày 31 tháng 12năm 2015 > 140.907.591.607,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2016 đến tháng 1 năm 2023. Lãi vay trả hàng tháng.,Lãi suấtnăm > 9.5% - 12%,numeric__Ngày 31 tháng 12năm 2015 > 140.907.591.607,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2016 đến tháng 1 năm 2023. Lãi vay trả hàng tháng.,numeric__Lãi suấtnăm > 9.5% - 12%
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,140.907.591.607,,,140907591607.0,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,33.006.582.664107.901.008.943,,,3.30065826641079e+22,,
