row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Đơn vị tính: VNĐNgày 31 tháng 12năm 2014(Trình bày lại),numeric__Ngày 31 tháng 12năm 2015,numeric__Đơn vị tính: VNĐNgày 31 tháng 12năm 2014(Trình bày lại)
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,
"Kí cược, ký quỹ","Phải thu ngắn hạn khác > Kí cược, ký quỹ","Kí cược, ký quỹ",40.708.128.367,17.429.200.274,40708128367.0,17429200274.0
Tạm ứng,Phải thu ngắn hạn khác > Tạm ứng,Tạm ứng,24.613.020.493,19.282.555.296,24613020493.0,19282555296.0
Phải thu lãi tiền gửi,Phải thu ngắn hạn khác > Phải thu lãi tiền gửi,Phải thu lãi tiền gửi,4.288.561.178,4.890.320.500,4288561178.0,4890320500.0
Phải thu khác,Phải thu ngắn hạn khác > Phải thu khác,Phải thu khác,1.981.850.629,3.025.026.192,1981850629.0,3025026192.0
TỔNG CỘNG,Phải thu ngắn hạn khác > TỔNG CỘNG,TỔNG CỘNG,71.591.560.667,44.627.102.262,71591560667.0,44627102262.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,
"Kí cược, ký quỹ cho mục đích thuê tài chính (*)","Phải thu dài hạn khác > Kí cược, ký quỹ cho mục đích thuê tài chính (*)","Kí cược, ký quỹ cho mục đích thuê tài chính (*)",5.446.121.000,5.446.121.000,5446121000.0,5446121000.0
TỔNG CỘNG,Phải thu dài hạn khác > TỔNG CỘNG,TỔNG CỘNG,5.446.121.000,5.446.121.000,5446121000.0,5446121000.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,-,-,,
