row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,209.517.057.577,-,209.517.057.577,209517057577.0,,209517057577.0
Thuê thêm trong năm,Nguyên giá: > Thuê thêm trong năm,Thuê thêm trong năm,94.025.537.536,17.447.040.000,111.472.577.536,94025537536.0,17447040000.0,111472577536.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,303.542.595.113,17.447.040.000,320.989.635.113,303542595113.0,17447040000.0,320989635113.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,16.773.807.658,-,16.773.807.658,16773807658.0,,16773807658.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,33.285.792.437,2.871.609.991,36.157.402.428,33285792437.0,2871609991.0,36157402428.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,50.059.600.095,2.871.609.991,52.931.210.086,50059600095.0,2871609991.0,52931210086.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,192.743.249.919,-,192.743.249.919,192743249919.0,,192743249919.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,253.482.995.018,14.575.430.009,268.058.425.027,253482995018.0,14575430009.0,268058425027.0
