row_label_raw,row_label_full,Ông Nguyễn Văn Lĩnh,Trường ban,numeric__Trường ban
Ông Ngô Huy Tuệ,Ông Ngô Huy Tuệ,Ông Ngô Huy Tuệ,Thành viên,
Bà Đình Thị Minh Thuận,Bà Đình Thị Minh Thuận,Bà Đình Thị Minh Thuận,Thành viên,
Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên,
