row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2014 (đã đượctrình bày trước đây),Trình bày lại,Đơn vị tính: VNĐNgày 31 tháng 12năm 2014(được trình bày lại),numeric__Ngày 31 tháng 12năm 2014 (đã đượctrình bày trước đây),numeric__Trình bày lại,numeric__Đơn vị tính: VNĐNgày 31 tháng 12năm 2014(được trình bày lại)
Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,,,
Đầu tư ngắn hạn,Bảng cân đối kế toán hợp nhất > Đầu tư ngắn hạn,Đầu tư ngắn hạn,88.000.555.552,(88.000.555.552),-,88000555552.0,-88000555552.0,
Đầu tư nằm giữ đến ngàyđáo hạn,Bảng cân đối kế toán hợp nhất > Đầu tư nằm giữ đến ngàyđáo hạn,Đầu tư nằm giữ đến ngàyđáo hạn,-,88.000.555.552,88.000.555.552,,88000555552.0,88000555552.0
Phải thu khác,Bảng cân đối kế toán hợp nhất > Phải thu khác,Phải thu khác,7.915.346.692,36.711.755.570,44.627.102.262,7915346692.0,36711755570.0,44627102262.0
Tài sản ngắn hạn khác,Bảng cân đối kế toán hợp nhất > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,40.384.451.186,(36.711.755.570),3.672.695.616,40384451186.0,-36711755570.0,3672695616.0
Phải thu dài hạn khác,Bảng cân đối kế toán hợp nhất > Phải thu dài hạn khác,Phải thu dài hạn khác,-,5.446.121.000,5.446.121.000,,5446121000.0,5446121000.0
Tài sản dài hạn khác,Bảng cân đối kế toán hợp nhất > Tài sản dài hạn khác,Tài sản dài hạn khác,5.446.121.000,(5.446.121.000),-,5446121000.0,-5446121000.0,
Quỹ đầu tư phát triển,Bảng cân đối kế toán hợp nhất > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,495.342.485.153,83.294.021.493,578.636.506.646,495342485153.0,83294021493.0,578636506646.0
Quỹ dự phòng tài chính,Bảng cân đối kế toán hợp nhất > Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,83.294.021.493,(83.294.021.493),-,83294021493.0,-83294021493.0,
,,,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2014(dã được trình bàytrước đây),Trình bày lại,Cho năm tài chínhkết thúc ngày 31tháng 12 năm2014(được trình bày lại),,,
Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,
Doanh thu bán hàng vàcung cấp dịch vụ,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Doanh thu bán hàng vàcung cấp dịch vụ,Doanh thu bán hàng vàcung cấp dịch vụ,5.285.937.484.946,(49.252.321.207),5.236.685.163.739,5285937484946.0,-49252321207.0,5236685163739.0
Các khoản giảm trừ doanhthu,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Các khoản giảm trừ doanhthu,Các khoản giảm trừ doanhthu,(167.166.736.924),117.319.637.000,(49.847.099.924),-167166736924.0,117319637000.0,-49847099924.0
Giá vốn hàng bán,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Giá vốn hàng bán,Giá vốn hàng bán,(4.530.703.274.465),(59.184.425.171),(4.589.887.699.636),-4530703274465.0,-59184425171.0,-4589887699636.0
Thu nhập khác,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Thu nhập khác,Thu nhập khác,95.057.306.810,(92.581.952.020),2.475.354.790,95057306810.0,-92581952020.0,2475354790.0
Chỉ phí khác,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Chỉ phí khác,Chỉ phí khác,(85.406.400.399),83.699.061.398,(1.707.339.001),-85406400399.0,83699061398.0,-1707339001.0
Lãi cơ bản trên cổ phiếu,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,3.280,(178),3.102,3280.0,-178.0,3102.0
