row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Đơn vị tính: VNDNgày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2014
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,180.361.241.263,221.058.228.052,180361241263.0,221058228052.0
"Nguyên liệu, vất liệu tồn kho","Nguyên liệu, vất liệu tồn kho","Nguyên liệu, vất liệu tồn kho",525.865.748.846,527.837.205.890,525865748846.0,527837205890.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",7.889.628.704,5.119.741.244,7889628704.0,5119741244.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.189.886.320.722,1.038.255.176.862,1189886320722.0,1038255176862.0
Chi phí sản xuất kinh doanh dở dang hoạtđộng bất động sản,Chi phí sản xuất kinh doanh dở dang hoạtđộng bất động sản,Chi phí sản xuất kinh doanh dở dang hoạtđộng bất động sản,623.727.243.806,567.686.772.893,623727243806.0,567686772893.0
Chi phí sản xuất kinh doanh dở dang hoatđộng chăn nuôi và hoạt động khác,Chi phí sản xuất kinh doanh dở dang hoatđộng chăn nuôi và hoạt động khác,Chi phí sản xuất kinh doanh dở dang hoatđộng chăn nuôi và hoạt động khác,566.159.076.916,470.568.403.969,566159076916.0,470568403969.0
Thành phẩm,Thành phẩm,Thành phẩm,296.355.267.001,294.754.926.420,296355267001.0,294754926420.0
Thành phẩm hoạt động bất động sản,Thành phẩm hoạt động bất động sản,Thành phẩm hoạt động bất động sản,256.361.583.418,256.134.064.872,256361583418.0,256134064872.0
Thành phẩm hoạt động sản xuất và chăn nuôi,Thành phẩm hoạt động sản xuất và chăn nuôi,Thành phẩm hoạt động sản xuất và chăn nuôi,39.993.683.583,38.620.861.548,39993683583.0,38620861548.0
Hàng hóa,Hàng hóa,Hàng hóa,48.520.197.642,55.624.631.928,48520197642.0,55624631928.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.248.878.404.178,2.142.649.910.396,2248878404178.0,2142649910396.0
