row_label_raw,row_label_full,col_0,Sản xuất và bán thức ăn chăn nuôi,Kinh doanh bắt động sản và dịch vụ xây lắp,"Sản xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác",Loại trừ,Tổng cộng,numeric__Sản xuất và bán thức ăn chăn nuôi,numeric__Kinh doanh bắt động sản và dịch vụ xây lắp,"numeric__Sản xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác",numeric__Loại trừ,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bản hàng và cung cấp dịch vụ ra bên ngoài (Trình bày lại),Doanh thu thuần > Doanh thu thuần từ bản hàng và cung cấp dịch vụ ra bên ngoài (Trình bày lại),Doanh thu thuần từ bản hàng và cung cấp dịch vụ ra bên ngoài (Trình bày lại),3.149.793.957.570,18.356.878.463,2.018.687.227.782,-,5.186.838.063.815,3149793957570.0,18356878463.0,2018687227782.0,,5186838063815.0
Doanh thu thuần từ bản hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bản hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bản hàng và cung cấp dịch vụ cho các bộ phận,1.737.556.828.249,33.043.060.084,540.446.200.828,(2.311.046.089.161),-,1737556828249.0,33043060084.0,540446200828.0,-2311046089161.0,
Tổng cộng,Doanh thu thuần > Tổng cộng,Tổng cộng,4.887.350.785.819,51.399.938.547,2.559.133.428.610,(2.311.046.089.161),5.186.838.063.815,4887350785819.0,51399938547.0,2559133428610.0,-2311046089161.0,5186838063815.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,232.163.516.131,(1.234.925.084),43.072.417.325,(24.844.680.063),249.156.328.309,232163516131.0,-1234925084.0,43072417325.0,-24844680063.0,249156328309.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,42.535.377.191,79.624.252,768.222.745,-,43.383.224.188,42535377191.0,79624252.0,768222745.0,,43383224188.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,189.628.138.940,(1.314.549.336),42.304.194.580,(24.844.680.063),205.773.104.121,189628138940.0,-1314549336.0,42304194580.0,-24844680063.0,205773104121.0
Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,,,,,
Tổng tài sản,Tải sản và nợ phải trả > Tổng tài sản,Tổng tài sản,2.640.805.950.424,1.167.338.316.690,930.349.982.313,(518.132.550.915),4.220.361.698.512,2640805950424.0,1167338316690.0,930349982313.0,-518132550915.0,4220361698512.0
Tải sản bộ phận,Tải sản và nợ phải trả > Tải sản bộ phận,Tải sản bộ phận,2.640.805.950.424,1.167.338.316.690,930.349.982.313,(886.872.639.712),3.851.621.609.715,2640805950424.0,1167338316690.0,930349982313.0,-886872639712.0,3851621609715.0
Tải sản không phân bổ (*),Tải sản và nợ phải trả > Tải sản không phân bổ (*),Tải sản không phân bổ (*),-,-,-,-,368.740.088.797,,,,,368740088797.0
Tổng nợ phải trả,Tải sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,2.150.720.477.911,132.967.067.403,655.752.358.788,(549.340.038.578),2.390.099.865.524,2150720477911.0,132967067403.0,655752358788.0,-549340038578.0,2390099865524.0
Nợ phải trả bộ phận,Tải sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.150.720.477.911,132.967.067.403,655.752.358.788,(549.340.038.578),2.390.099.865.524,2150720477911.0,132967067403.0,655752358788.0,-549340038578.0,2390099865524.0
