row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2015,Đơn vị tính: VNĐNgày 31 tháng 12năm 2014,numeric__Ngày 31 tháng 12năm 2015,numeric__Đơn vị tính: VNĐNgày 31 tháng 12năm 2014
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Nhận đặt cọc thực hiện nghĩa vụ hợp đồng,Ngắn hạn > Nhận đặt cọc thực hiện nghĩa vụ hợp đồng,Nhận đặt cọc thực hiện nghĩa vụ hợp đồng,100.362.160.000,-,100362160000.0,
Nhận hỗ trợ bình ổn giá từ UBND tỉnh Bắc Ninh dưới hình thức cho vay không lãi,Ngắn hạn > Nhận hỗ trợ bình ổn giá từ UBND tỉnh Bắc Ninh dưới hình thức cho vay không lãi,Nhận hỗ trợ bình ổn giá từ UBND tỉnh Bắc Ninh dưới hình thức cho vay không lãi,25.000.000.000,20.000.000.000,25000000000.0,20000000000.0
Khoản hỗ trợ không hoàn lại của UBND tỉnh Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chân nuôi tập trung,Ngắn hạn > Khoản hỗ trợ không hoàn lại của UBND tỉnh Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chân nuôi tập trung,Khoản hỗ trợ không hoàn lại của UBND tỉnh Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chân nuôi tập trung,24.636.994.000,36.111.994.000,24636994000.0,36111994000.0
Kinh phí công đoàn và bảo hiểm xã hội,Ngắn hạn > Kinh phí công đoàn và bảo hiểm xã hội,Kinh phí công đoàn và bảo hiểm xã hội,3.789.215.836,3.101.642.694,3789215836.0,3101642694.0
"Các khoản phải trả, phải nộp ngắn hạn khác","Ngắn hạn > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",4.789.989.597,1.199.200.096,4789989597.0,1199200096.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,158.578.359.433,60.412.836.790,158578359433.0,60412836790.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",8.842.868.300,7.284.668.300,8842868300.0,7284668300.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,8.842.868.300,7.284.668.300,8842868300.0,7284668300.0
