row_label_raw,row_label_full,Vay và nợ ngắn hạnVay ngân hàng (Thuyết minh số 19.1)Vay dài hạn đến hạn trả(Thuyết minh số 19.2)Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 19.3)Vay đối tượng khác (Thuyết minh 19.4),Ngày 31 tháng 12năm 2015 > 1.407.715.157.41733.006.582.66449.808.505.26618.975.000.000,Đơn vị tính:VNĐNgày 31 tháng 12năm 2014 > 1.140.459.092.28548.519.161.54430.950.881.5961.595.000.000,numeric__Ngày 31 tháng 12năm 2015 > 1.407.715.157.41733.006.582.66449.808.505.26618.975.000.000,numeric__Đơn vị tính:VNĐNgày 31 tháng 12năm 2014 > 1.140.459.092.28548.519.161.54430.950.881.5961.595.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.509.505.245.347,1.221.524.135.425,1509505245347.0,1221524135425.0
Vay và nợ dài hạnVay ngân hàng (Thuyết minh số 19.2)Nợ thuê tài chính (Thuyết minh số 19.3),Vay và nợ dài hạnVay ngân hàng (Thuyết minh số 19.2)Nợ thuê tài chính (Thuyết minh số 19.3),Vay và nợ dài hạnVay ngân hàng (Thuyết minh số 19.2)Nợ thuê tài chính (Thuyết minh số 19.3),140.907.591.607190.863.348.855,107.291.699.956140.070.119.485,1.4090759160719087e+23,1.0729169995614007e+23
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,331.770.940.462,247.361.819.441,331770940462.0,247361819441.0
Trong đó:Vay và nợ dài hạn đến hạn trảVay và nợ dài hạn,Trong đó:Vay và nợ dài hạn đến hạn trảVay và nợ dài hạn,Trong đó:Vay và nợ dài hạn đến hạn trảVay và nợ dài hạn,82.815.087.930248.955.852.532,79.470.043.140167.891.776.301,8.281508793024896e+22,7.94700431401679e+22
