row_label_raw,row_label_full,STT,Tên công ty,Tỷ lệ sở hữu(%),Địa chỉ trụ sở chính,Hoạt động chính trong năm,numeric__Tên công ty,numeric__Tỷ lệ sở hữu(%),numeric__Địa chỉ trụ sở chính,numeric__Hoạt động chính trong năm
1,1,1,Công ty TNHHLợn giống Hat nhân Dabaco,100,"Xã Tân Chi, huyện Tiên Du, tỉnh Bắc Ninh","Chăn nuôi gia súc, gia cầm, sản xuất, kinh doanh lợn giống, lợn thịt, tỉnh lợn, trâu, bò",,100.0,,
2,2,2,Công ty TNHHLợn giống Dabaco,100,"Xã Tân Chi, huyện Tiên Du, tỉnh Bắc Ninh","Chăn nuôi lợn, chăn nuôi gia cầm và một số loại gia súc khác;sản xuất, kinh doanh lợn giống,lợn thịt, tỉnh lợn, ba ba và giốngthủy sản khác",,100.0,,
3,3,3,Công ty TNHHMTV Lợn giống Lạc Vệ,100,"Thôn Hồ Vệ, xã Lạc Vệ, huyện Tiên Du,tỉnh Bắc Ninh","Chăn nuôi lợn, chăn nuôi gia cầm và một số loại gia súc; sản xuất kinh doanh lợn giống, lợn thịt, tỉnh lợn, ba ba và giốngthủy sản khác",,100.0,,
4,4,4,Công ty TNHHĐầu tư và Phát triển Chăn nuôi gia công,100,"Cụm Công nghiệp xã Lạc Vệ, huyện Tiên Du,tỉnh Bắc Ninh","Chăn nuôi, các hoạt động hỗ trợchăn nuôi, mua bán và đai lý",,100.0,,
5,5,5,Công ty TNHHP đầu tư Phát triển Chăn nuôi Lợn Dabaco,100,"Công nghiệp xã Lạc Vệ, huyện Tiên Du,tỉnh Bắc Ninh","Chăn nuôi lợn thịt, chăn nuôi lợnsửa, lợn giống, hoạt động hỗ trợchăn nuôi; sản xuất và kinhdoanh mua bán lợn thịt, lợngióng, lợn thương phẩm",,100.0,,
6,6,6,Công ty TNHHMTV Gá giống Dabaco,100,"Thôn Hồ Vệ, xã Lạc Vệ, huyện Tiên Du,tỉnh Bắc Ninh",Chăn nuôi và kinh doanh gàgiống,,100.0,,
7,7,7,Công ty TNHHChế biển Thực phẩm Dabaco,100,"Quốc lộ 38, xã Lạc Vệ, huyện Tiên Du,tỉnh Bắc Ninh","Giết mổ, chế biển thịt gia súc,gia cầm; sản xuất thực phẩm vàđố uống",,100.0,,
8,8,8,Công ty TNHHMTV DabacoTây Bắc,100,"Cụm công nghiệpMông Hóa, xã Mông Hóa, huyện Kỹ Sơn,tỉnh Hòa Bình","Sản xuất thức ăn gia súc, gia cầm và thủy sản; sản xuất tinhbột và các sản phẩm từ tinh bột;ché biến và bảo quản rau quả;ché biến và bảo quản nông sânthực phẩm; bán buôn, bán lẻ;thức ăn và nguyên liệu làm thửc ăn cho gia súc, gia cầm và thủysản",,100.0,,
9,9,9,Công ty TNHHNông nghiệpCông nghệ cao Dabaco,100,"Thôn Hồ Vệ, xã Lạc Vệ, huyện Tiên Du,tỉnh Bắc Ninh",Sản xuất và kinh doanh rauantoàn ứng dụng công nghệ cao,,100.0,,
10,10,10,Công ty TNHHMTV Thươngmai Hiệp Quang,100,"Khu công nghiệpKhắc Niệm, thành phố Bắc Ninh, tỉnhBắc Ninh","Sản xuất, kinh doanh các sãnphẩm bao bị nhựa PP, PE,composit",,100.0,,
