row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,5.863.191.770.258,5.236.685.163.739,5863191770258.0,5236685163739.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng thành phẩm,Trong đó: > Doanh thu bán hàng thành phẩm,Doanh thu bán hàng thành phẩm,5.045.175.428.350,4.406.249.045.418,5045175428350.0,4406249045418.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,804.537.419.357,811.673.741.676,804537419357.0,811673741676.0
Doanh thu cung cấp dịch vụ xây lắp,Trong đó: > Doanh thu cung cấp dịch vụ xây lắp,Doanh thu cung cấp dịch vụ xây lắp,13.478.922.551,18.762.376.645,13478922551.0,18762376645.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(71.799.240.970),(49.847.099.924),-71799240970.0,-49847099924.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(64.732.546.487),(43.192.893.020),-64732546487.0,-43192893020.0
Giảm giả hàng bán,Trong đó: > Giảm giả hàng bán,Giảm giả hàng bán,(138.854.545),(405.498.182),-138854545.0,-405498182.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(6.927.839.938),(6.248.708.722),-6927839938.0,-6248708722.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,5.791.392.529.288,5.186.838.063.815,5791392529288.0,5186838063815.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng thành phẩm,Trong đó: > Doanh thu bán hàng thành phẩm,Doanh thu bán hàng thành phẩm,4.973.515.041.925,4.356.807.443.676,4973515041925.0,4356807443676.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,804.537.419.357,811.673.741.676,804537419357.0,811673741676.0
Doanh thu cung cấp dịch vụ xây lắp,Trong đó: > Doanh thu cung cấp dịch vụ xây lắp,Doanh thu cung cấp dịch vụ xây lắp,13.340.068.006,18.356.878.463,13340068006.0,18356878463.0
