row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Lợi thế thương mại từ hợp nhất Công ty TNHH MTV Thương mại Hiệp Quang,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,11.817.922.747,11817922747.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,11.817.922.747,11817922747.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,
Số đầu năm,Phân bổ lũy kế: > Số đầu năm,Số đầu năm,5.908.961.378,5908961378.0
Phân bổ trong năm,Phân bổ lũy kế: > Phân bổ trong năm,Phân bổ trong năm,1.181.792.280,1181792280.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,7.090.753.658,7090753658.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,5.908.961.369,5908961369.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,4.727.169.089,4727169089.0
