row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNĐ > Năm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNĐ > Năm trước(Trình bày lại)
Giá vốn của thành phẩm đã bán,Giá vốn của thành phẩm đã bán,Giá vốn của thành phẩm đã bán,4.336.497.403.538,3.820.518.489.064,4336497403538.0,3820518489064.0
Giá vốn của hàng hóa đã bán,Giá vốn của hàng hóa đã bán,Giá vốn của hàng hóa đã bán,746.481.693.969,752.874.887.243,746481693969.0,752874887243.0
Giá vốn của dịch vụ xây lắp,Giá vốn của dịch vụ xây lắp,Giá vốn của dịch vụ xây lắp,7.960.644.072,16.494.323.329,7960644072.0,16494323329.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.090.939.741.579,4.589.887.699.636,5090939741579.0,4589887699636.0
