row_label_raw,row_label_full,Phải nộpThuế giá trị gia tăng > Thuế thu nhập doanhnghiệp(Thuyết minh số 28.1),Ngày 31 tháng12 năm 2014 > 10.389.253.491 > 30.531.526.092,Số phải nộptrong năm > 28.730.150.461 > 30.781.639.175,Số đã nộp vàđược cán trừ vớitrong năm > (37.653.539.656) > (38.735.237.282),Đơn vị tính: VNDNgày 31 tháng12 năm 2015 > 1.465.864.296 > 22.577.927.985,numeric__Ngày 31 tháng12 năm 2014 > 10.389.253.491 > 30.531.526.092,numeric__Số phải nộptrong năm > 28.730.150.461 > 30.781.639.175,numeric__Số đã nộp vàđược cán trừ vớitrong năm > (37.653.539.656) > (38.735.237.282),numeric__Đơn vị tính: VNDNgày 31 tháng12 năm 2015 > 1.465.864.296 > 22.577.927.985
Tiền sử dụng đất (*),Tiền sử dụng đất (*),Tiền sử dụng đất (*),8.937.022.184,2.851.616.740,(5.597.768.921),6.190.870.003,8937022184.0,2851616740.0,-5597768921.0,6190870003.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,154.073.216,(154.073.216),-,,154073216.0,-154073216.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,261.880.000,459.132.554,(694.539.324),26.473.230,261880000.0,459132554.0,-694539324.0,26473230.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,50.119.681.767,62.976.612.146,(82.835.158.399),30.261.135.514,50119681767.0,62976612146.0,-82835158399.0,30261135514.0
,,,Ngày 31 tháng12 năm 2014,Số kê khai hoàntrong năm,Số được hoàntrong năm,Ngày 31 tháng12 năm 2015,,,,
Phải thuThuế giá trị gia tăng,Phải thuThuế giá trị gia tăng,Phải thuThuế giá trị gia tăng,1.265.213.184,13.324.333.400,-,14.589.546.584,1265213184.0,13324333400.0,,14589546584.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.265.213.184,13.324.333.400,-,14.589.546.584,1265213184.0,13324333400.0,,14589546584.0
