row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,103.485.046.672.447,87.738.378.978.636,103485046672447.0,87738378978636.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng,Trong đó: > Doanh thu bán hàng,Doanh thu bán hàng,102.690.897.379.315,87.029.254.963.723,102690897379315.0,87029254963723.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,794.149.293.132,709.124.014.913,794149293132.0,709124014913.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(1.310.802.695.724),(1.222.091.976.137),-1310802695724.0,-1222091976137.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(1.310.802.695.724),(1.222.091.976.137),-1310802695724.0,-1222091976137.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,102.174.243.976.723,86.516.287.002.499,102174243976723.0,86516287002499.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần từ bán hàng,Trong đó: > Doanh thu thuần từ bán hàng,Doanh thu thuần từ bán hàng,101.380.094.683.591,85.807.162.987.586,101380094683591.0,85807162987586.0
Doanh thu thuần từ cung cấp dịch vụ,Trong đó: > Doanh thu thuần từ cung cấp dịch vụ,Doanh thu thuần từ cung cấp dịch vụ,794.149.293.132,709.124.014.913,794149293132.0,709124014913.0
